Model,Original F1 Score,Optimal Threshold,New F1 Score
lda,0.9511568123393316,0.21,0.951530612244898
logit,0.9425,0.63,0.9499358151476252
qda,0.5370741482965932,0.0,0.5370741482965932
knn,0.7184466019417476,0.41000000000000003,0.7315508021390374
gbdt,0.948849104859335,0.36,0.9551122194513716
rf,0.9171122994652406,0.44,0.9534591194968554
