mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.284138822555542,0.039015403610203864,0.06421966552734375,0.007574549281745661,20,{'pca__n_components': 20},0.9351032448377581,0.9429429429429429,0.9325337331334332,0.9397590361445783,0.9584569732937686,0.9417591860704964,0.009095367104196712,5
1.6591437816619874,0.20271625679098434,0.060115718841552736,0.008337668287601109,21,{'pca__n_components': 21},0.9380530973451328,0.9431137724550899,0.9265367316341829,0.9427710843373494,0.9643916913946587,0.9429732754332827,0.012273363739625544,2
1.2052649974822998,0.22410770590269907,0.05996904373168945,0.007139494526964332,22,"{'pca__n_components': 22, 'MODEL_NAME': 'svm_pca_finetune_extra', 'TIME_ELAPSED_MIN': 0.250522251923879}",0.9408284023668639,0.9397590361445783,0.9295352323838081,0.9427710843373494,0.962852897473997,0.9431493305413193,0.010868284983301033,1
1.192822027206421,0.041041088501421207,0.0710103988647461,0.010374557737331697,23,{'pca__n_components': 23},0.9423929098966026,0.9395770392749244,0.9291101055806938,0.9411764705882353,0.9614243323442137,0.942736171536934,0.010463724385270424,3
1.1682998657226562,0.027082860931462067,0.05937175750732422,0.011274823414844887,24,{'pca__n_components': 24},0.9425625920471281,0.9381598793363499,0.9291101055806938,0.9411764705882353,0.9611940298507463,0.9424406154806307,0.010481704892413915,4
1.2492111206054688,0.016478715941792316,0.055542802810668944,0.006632272930054858,25,{'pca__n_components': 25},0.9351032448377581,0.9413533834586466,0.9321266968325792,0.9411764705882353,0.9582089552238806,0.9415937501882199,0.009033810887429682,6
1.201566457748413,0.014382354055613094,0.06194915771484375,0.005480841564702425,26,{'pca__n_components': 26},0.9362962962962963,0.9411764705882353,0.9291101055806938,0.9395770392749244,0.9579579579579579,0.9408235739396215,0.00951805740955651,11
1.3881505966186523,0.042074070807533566,0.061684703826904295,0.011252377524630593,27,{'pca__n_components': 27},0.9378698224852071,0.9395770392749244,0.9295352323838081,0.9395770392749244,0.9580838323353293,0.9409285931508388,0.009350084221959949,9
1.3345747470855713,0.062260409831473296,0.05988268852233887,0.01743019635255617,28,{'pca__n_components': 28},0.9394387001477105,0.9411764705882353,0.9323308270676691,0.9363636363636364,0.956390977443609,0.941140122322172,0.008196380195432024,8
1.4432759284973145,0.01274796775882987,0.062371349334716795,0.010669085938085226,29,{'pca__n_components': 29},0.9362962962962963,0.9395770392749244,0.9293233082706767,0.9395770392749244,0.95952023988006,0.9408587845993764,0.01005404564334374,10
1.3324576377868653,0.033525270184585704,0.06579337120056153,0.005471563230565705,30,{'pca__n_components': 30},0.9349112426035503,0.9427710843373494,0.9258698940998488,0.9427710843373494,0.954954954954955,0.9402556520666107,0.009635736081978761,13
1.3398434162139892,0.04342204234816364,0.08002271652221679,0.012649327462348044,31,{'pca__n_components': 31},0.9406528189910979,0.9397590361445783,0.9323308270676691,0.9347496206373292,0.9548192771084337,0.9404623159898217,0.007815487531524022,12
1.3068583011627197,0.032887976330751335,0.07962627410888672,0.010265058856769798,32,{'pca__n_components': 32},0.9269746646795827,0.9363636363636364,0.9383458646616541,0.9409984871406959,0.9548192771084337,0.9395003859908005,0.008999761599270111,14
1.378277587890625,0.02529952443785982,0.08099255561828614,0.007414618478101188,33,{'pca__n_components': 33},0.9390787518573551,0.9397590361445783,0.9291101055806938,0.9427710843373494,0.9562594268476622,0.9413956809535277,0.008738475901237715,7
1.4033800125122071,0.026586617705367438,0.0905454158782959,0.01310455684793986,34,{'pca__n_components': 34},0.9357249626307922,0.9395770392749244,0.9272727272727272,0.9393939393939394,0.9519519519519519,0.9387841241048671,0.007953150386049788,15
1.4247076511383057,0.028677042151379412,0.08205990791320801,0.006200537709065583,35,{'pca__n_components': 35},0.9343283582089552,0.9397590361445783,0.9258698940998488,0.9363636363636364,0.9552238805970149,0.9383089610828067,0.009618493590638376,18
1.4122467994689942,0.023578900343113853,0.08871598243713379,0.006842088196380269,36,{'pca__n_components': 36},0.9301634472511144,0.9395770392749244,0.9307228915662651,0.9393939393939394,0.9519519519519519,0.938361853887639,0.007909491236996342,17
1.4636348724365233,0.023526604207807427,0.08295807838439942,0.004251779079514022,37,{'pca__n_components': 37},0.9402985074626866,0.9379727685325264,0.9226100151745068,0.9379727685325264,0.9486404833836858,0.9374989086171863,0.008415469997087763,19
1.458359956741333,0.19191951499759788,0.09309563636779786,0.00797227104007052,38,{'pca__n_components': 38},0.9295352323838081,0.9381598793363499,0.9237804878048781,0.9379727685325264,0.9519519519519519,0.9362800640019028,0.009526165911847096,21
1.3720280170440673,0.08173057697058264,0.08616204261779785,0.01773263660786409,39,{'pca__n_components': 39},0.9417040358744395,0.9379727685325264,0.9291101055806938,0.9347496206373292,0.9500756429652042,0.9387224347180385,0.0070217861760892425,16
1.075986385345459,0.07961644268821319,0.058106613159179685,0.006406245359811364,40,{'pca__n_components': 40},0.9357249626307922,0.9408194233687405,0.9228441754916793,0.9393939393939394,0.9486404833836858,0.9374845968537675,0.008445812114264012,20
