mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__class_weight,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
44.419597673416135,0.21975599508614224,8.43230414390564,0.5728240316877361,0.101,,scale,poly,"{'svm__C': 0.101, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.0,0.0058309037900874635,0.0058309037900874635,0.005813953488372093,0.005813953488372093,0.0046579429113838226,0.0023289837921233692,201
36.35519127845764,0.3657072070579512,11.49028663635254,0.06054471619547973,0.101,,scale,rbf,"{'svm__C': 0.101, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.6981132075471698,0.6933333333333334,0.6614481409001957,0.7105263157894737,0.6549019607843137,0.6836645916708972,0.021654832758820224,147
25.066311168670655,0.8702927414558342,5.408890724182129,0.402304187971834,0.101,,scale,sigmoid,"{'svm__C': 0.101, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.9030206677265501,0.8845528455284553,0.8646864686468647,0.8980891719745223,0.847682119205298,0.879606254616338,0.020765703321266503,141
14.95264129638672,0.38478076962221275,3.222577953338623,0.0473140411030715,0.101,,auto,linear,"{'svm__C': 0.101, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.9323529411764706,0.9333333333333333,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9291871062748328,0.007863202427155129,57
45.596786975860596,0.17758084190020026,8.963690137863159,0.4540398268118236,0.101,,auto,poly,"{'svm__C': 0.101, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'poly'}",0.0,0.0058309037900874635,0.0058309037900874635,0.005813953488372093,0.005813953488372093,0.0046579429113838226,0.0023289837921233692,201
37.776425743103026,0.24687373804492335,12.843738698959351,0.08675964503340133,0.101,,auto,rbf,"{'svm__C': 0.101, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.6981132075471698,0.6933333333333334,0.6614481409001957,0.7105263157894737,0.6549019607843137,0.6836645916708972,0.021654832758820224,147
26.41489863395691,0.9342245854061845,5.640851783752441,0.07960087909496195,0.101,,auto,sigmoid,"{'svm__C': 0.101, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'sigmoid'}",0.9030206677265501,0.8845528455284553,0.8646864686468647,0.8980891719745223,0.847682119205298,0.879606254616338,0.020765703321266503,141
15.583941888809203,0.13159044253920912,3.191594123840332,0.04853746181952053,0.101,balanced,scale,linear,"{'svm__C': 0.101, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.9323529411764706,0.9333333333333333,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9291871062748328,0.007863202427155129,57
45.456216955184935,0.2014166968274744,8.991057300567627,0.7079016037530981,0.101,balanced,scale,poly,"{'svm__C': 0.101, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.034383954154727794,0.04011461318051576,0.017391304347826087,0.023054755043227664,0.04,0.03098892534525946,0.009207064903523342,199
41.79532866477966,0.22174489069142223,13.830294847488403,0.08367670799676183,0.101,balanced,scale,rbf,"{'svm__C': 0.101, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.8963317384370016,0.867430441898527,0.8543046357615894,0.8966613672496025,0.830820770519263,0.8691097907731967,0.025251477978577404,143
