mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_qda_pca__reg_param,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2570772171020508,0.25720320770344834,0.03785834312438965,0.007261660605211298,5,0.0,"{'pca__n_components': 5, 'qda_pca__reg_param': 0.0}",0.8615863141524106,0.8503184713375797,0.84,0.8625,0.8922610015174507,0.8613331574014882,0.017517899791097382,9
1.4254310131072998,0.18318331897274145,0.030739450454711915,0.0056912839012646516,5,0.1,"{'pca__n_components': 5, 'qda_pca__reg_param': 0.1}",0.8641975308641975,0.8557993730407524,0.8361408882082695,0.8717156105100463,0.8868778280542986,0.8629462461355129,0.01685700499365987,8
0.9735530376434326,0.060907922252878416,0.02790412902832031,0.004184644247057449,5,0.5,"{'pca__n_components': 5, 'qda_pca__reg_param': 0.5}",0.8809523809523809,0.875,0.8463768115942029,0.8718703976435935,0.8998548621190131,0.874810890461838,0.017216837824021496,7
0.9727114200592041,0.0378503903424381,0.034510040283203126,0.012692945071838132,5,1.0,"{'pca__n_components': 5, 'qda_pca__reg_param': 1.0}",0.7291981845688351,0.6868044515103339,0.6918429003021148,0.7320644216691069,0.7381316998468607,0.7156083315794504,0.021712891812262925,12
0.9603065967559814,0.04232332034332789,0.023962783813476562,0.005768871210809008,10,0.0,"{'pca__n_components': 10, 'qda_pca__reg_param': 0.0}",0.9293233082706767,0.91324200913242,0.9093655589123867,0.9301634472511144,0.9331352154531947,0.9230459078039586,0.009748103694557558,5
0.9592685222625732,0.0429080661714722,0.02808270454406738,0.00637979528295485,10,0.1,"{'pca__n_components': 10, 'qda_pca__reg_param': 0.1}",0.9295352323838081,0.9154078549848943,0.905829596412556,0.9303703703703704,0.9333333333333333,0.9228952774969924,0.01054720807377487,6
0.9399893283843994,0.014740423400601225,0.023809528350830077,0.0069114354613574605,10,0.5,"{'pca__n_components': 10, 'qda_pca__reg_param': 0.5}",0.9319826338639653,0.9264705882352942,0.9135446685878963,0.9281609195402298,0.9375907111756169,0.9275499042806006,0.007976863847949234,2
0.8937235355377198,0.02365785409739674,0.022939586639404298,0.0039623366600714275,10,1.0,"{'pca__n_components': 10, 'qda_pca__reg_param': 1.0}",0.7488584474885844,0.7167449139280125,0.7164179104477612,0.747093023255814,0.7623456790123457,0.7382919948265035,0.018495621151181807,11
1.0858236789703368,0.05492455270329315,0.021895933151245116,0.00695730160605772,20,0.0,"{'pca__n_components': 20, 'qda_pca__reg_param': 0.0}",0.9278033794162827,0.9099378881987578,0.9157733537519143,0.9272727272727272,0.9359756097560976,0.9233525916791561,0.00929426357436117,4
1.083770751953125,0.031187867971784487,0.025484037399291993,0.004216611044937651,20,0.1,"{'pca__n_components': 20, 'qda_pca__reg_param': 0.1}",0.9375951293759512,0.9119010819165378,0.9115853658536586,0.9307228915662651,0.9409984871406959,0.9265605911706217,0.012543501926459921,3
0.9876522541046142,0.00966758621226765,0.020247364044189455,0.0031067061956615884,20,0.5,"{'pca__n_components': 20, 'qda_pca__reg_param': 0.5, 'MODEL_NAME': 'qda_pca', 'TIME_ELAPSED_MIN': 0.11403884490331014}",0.9512555391432792,0.9283582089552239,0.9251101321585903,0.9374090247452693,0.9543446244477173,0.939295505890016,0.011780717024293815,1
0.8382359504699707,0.04846693214210236,0.01406412124633789,0.0025389944767207585,20,1.0,"{'pca__n_components': 20, 'qda_pca__reg_param': 1.0}",0.7576687116564417,0.7272727272727273,0.7207207207207207,0.749271137026239,0.7685185185185185,0.7446903630389295,0.018083803832528774,10
