mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gbdt_pca__learning_rate,param_gbdt_pca__max_depth,param_gbdt_pca__max_features,param_gbdt_pca__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4136789798736573,0.17714372053025199,0.012931728363037109,0.0050965416018863875,0.05,3,sqrt,100,5,"{'gbdt_pca__learning_rate': 0.05, 'gbdt_pca__max_depth': 3, 'gbdt_pca__max_features': 'sqrt', 'gbdt_pca__n_estimators': 100, 'pca__n_components': 5}",0.8651162790697674,0.8393135725429017,0.8509984639016898,0.8562596599690881,0.8865030674846626,0.8596382085936218,0.01581695614915516,72
1.3961406230926514,0.022264055180956432,0.019511604309082033,0.0024628000657332884,0.05,3,sqrt,100,10,"{'gbdt_pca__learning_rate': 0.05, 'gbdt_pca__max_depth': 3, 'gbdt_pca__max_features': 'sqrt', 'gbdt_pca__n_estimators': 100, 'pca__n_components': 10}",0.891640866873065,0.8878357030015798,0.86875,0.8864696734059098,0.9076682316118936,0.8884728949784895,0.012425043187138928,47
1.5857765197753906,0.13972739784820273,0.014629459381103516,0.003206125335713987,0.05,3,sqrt,100,20,"{'gbdt_pca__learning_rate': 0.05, 'gbdt_pca__max_depth': 3, 'gbdt_pca__max_features': 'sqrt', 'gbdt_pca__n_estimators': 100, 'pca__n_components': 20}",0.8875,0.8764044943820225,0.8716323296354992,0.9006211180124224,0.9027113237639554,0.8877738531587799,0.0124745047076022,48
1.3644392490386963,0.02892882437942362,0.01600337028503418,0.0030307712458849823,0.05,3,sqrt,200,5,"{'gbdt_pca__learning_rate': 0.05, 'gbdt_pca__max_depth': 3, 'gbdt_pca__max_features': 'sqrt', 'gbdt_pca__n_estimators': 200, 'pca__n_components': 5}",0.8810975609756098,0.8545176110260337,0.8545454545454545,0.8702290076335878,0.8932330827067669,0.8707245433774904,0.015092428328016463,53
1.5025911808013916,0.04618942937851194,0.012895774841308594,0.0029798749305154793,0.05,3,sqrt,200,10,"{'gbdt_pca__learning_rate': 0.05, 'gbdt_pca__max_depth': 3, 'gbdt_pca__max_features': 'sqrt', 'gbdt_pca__n_estimators': 200, 'pca__n_components': 10}",0.9054878048780488,0.9006211180124224,0.9021406727828746,0.9093701996927803,0.9312977099236641,0.909783501057958,0.01117002322218987,39
1.9101349353790282,0.03668618335930138,0.017862224578857423,0.005326195355170218,0.05,3,sqrt,200,20,"{'gbdt_pca__learning_rate': 0.05, 'gbdt_pca__max_depth': 3, 'gbdt_pca__max_features': 'sqrt', 'gbdt_pca__n_estimators': 200, 'pca__n_components': 20}",0.9071537290715372,0.8990536277602523,0.8967642526964561,0.9129770992366413,0.9302325581395349,0.9092362533808844,0.011986761984255936,41
1.4288793563842774,0.1750459408558326,0.015920209884643554,0.006098226610766563,0.05,3,100,100,5,"{'gbdt_pca__learning_rate': 0.05, 'gbdt_pca__max_depth': 3, 'gbdt_pca__max_features': 100, 'gbdt_pca__n_estimators': 100, 'pca__n_components': 5}",0.869431643625192,0.847457627118644,0.8459214501510574,0.8615384615384616,0.878419452887538,0.8605537270641787,0.01252663262884562,71
1.748423194885254,0.12038432263597657,0.009838628768920898,0.0028805194924544884,0.05,3,100,100,10,"{'gbdt_pca__learning_rate': 0.05, 'gbdt_pca__max_depth': 3, 'gbdt_pca__max_features': 100, 'gbdt_pca__n_estimators': 100, 'pca__n_components': 10}",0.8987730061349694,0.8982785602503912,0.8837209302325582,0.8929663608562691,0.9138461538461539,0.8975170022640683,0.009796312044866385,46
2.8616355419158936,0.0236168257046327,0.014491987228393555,0.004303788907658119,0.05,3,100,100,20,"{'gbdt_pca__learning_rate': 0.05, 'gbdt_pca__max_depth': 3, 'gbdt_pca__max_features': 100, 'gbdt_pca__n_estimators': 100, 'pca__n_components': 20}",0.8987730061349694,0.8948194662480377,0.8773584905660378,0.8990825688073395,0.9192546583850931,0.8978576380282955,0.013338788316628464,45
1.7951245307922363,0.038674546560452806,0.01322031021118164,0.003622544679522489,0.05,3,100,200,5,"{'gbdt_pca__learning_rate': 0.05, 'gbdt_pca__max_depth': 3, 'gbdt_pca__max_features': 100, 'gbdt_pca__n_estimators': 200, 'pca__n_components': 5}",0.8776758409785933,0.8619119878603946,0.8609865470852018,0.8719512195121951,0.8885542168674698,0.8722159624607709,0.010286793295857397,51
2.7686532974243163,0.12340774663715708,0.013046789169311523,0.003188814736659958,0.05,3,100,200,10,"{'gbdt_pca__learning_rate': 0.05, 'gbdt_pca__max_depth': 3, 'gbdt_pca__max_features': 100, 'gbdt_pca__n_estimators': 200, 'pca__n_components': 10}",0.9110105580693816,0.9040247678018576,0.91350531107739,0.9146341463414634,0.9265367316341829,0.9139423029848551,0.007297148409011305,36
4.681032752990722,0.0856390395828048,0.012664031982421876,0.002254165186449868,0.05,3,100,200,20,"{'gbdt_pca__learning_rate': 0.05, 'gbdt_pca__max_depth': 3, 'gbdt_pca__max_features': 100, 'gbdt_pca__n_estimators': 200, 'pca__n_components': 20}",0.9244712990936556,0.906832298136646,0.901840490797546,0.9121212121212121,0.9374045801526718,0.9165339760603463,0.012869162843010118,29
