,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ada_boost__estimator,param_ada_boost__learning_rate,param_ada_boost__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.47522554397583,0.028780167666866915,0.04690055847167969,0.00694594260402618,DecisionTreeClassifier(max_depth=2),0.5,50,10,"{'ada_boost__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost__learning_rate': 0.5, 'ada_boost__n_estimators': 50, 'pca__n_components': 10}",0.9170437405731523,0.9044006069802731,0.9230769230769231,0.9115853658536586,0.8721109399075501,0.9056435152783114,0.017861538928875653,67
1,3.2005695343017577,0.5203616783700771,0.05797519683837891,0.027099023362293025,DecisionTreeClassifier(max_depth=2),0.5,50,25,"{'ada_boost__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost__learning_rate': 0.5, 'ada_boost__n_estimators': 50, 'pca__n_components': 25}",0.9233082706766917,0.9172932330827067,0.9235474006116208,0.9214501510574018,0.874806800618238,0.912081171209332,0.01877149037494646,58
2,4.0386354446411135,0.05631802374128807,0.0485041618347168,0.011207908573188987,DecisionTreeClassifier(max_depth=2),0.5,50,50,"{'ada_boost__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost__learning_rate': 0.5, 'ada_boost__n_estimators': 50, 'pca__n_components': 50}",0.9113149847094801,0.9127105666156202,0.9099236641221374,0.913767019667171,0.8615863141524106,0.9018605098533639,0.020178707087502554,72
3,7.784010791778565,0.16932375033201766,0.06471500396728516,0.012000379283243885,DecisionTreeClassifier(max_depth=2),0.5,50,100,"{'ada_boost__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost__learning_rate': 0.5, 'ada_boost__n_estimators': 50, 'pca__n_components': 100}",0.9131736526946108,0.9099236641221374,0.9135802469135802,0.9228441754916793,0.8686244204018547,0.9056292319247724,0.018996259789026002,68
4,1.9854217529296876,0.05097548899647498,0.044934415817260744,0.009057825150196593,DecisionTreeClassifier(max_depth=2),0.5,100,10,"{'ada_boost__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost__learning_rate': 0.5, 'ada_boost__n_estimators': 100, 'pca__n_components': 10}",0.9194029850746268,0.9177877428998505,0.9298780487804879,0.9159159159159159,0.8855421686746988,0.913705372269116,0.014891182270757981,49
5,3.8879395961761474,0.07750377926679189,0.04120445251464844,0.004695625754206811,DecisionTreeClassifier(max_depth=2),0.5,100,25,"{'ada_boost__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost__learning_rate': 0.5, 'ada_boost__n_estimators': 100, 'pca__n_components': 25}",0.9369369369369369,0.9237804878048781,0.9251908396946565,0.9323308270676691,0.8909090909090909,0.9218296364826463,0.016184493672644695,31
6,6.576872396469116,0.042734356856949166,0.0502932071685791,0.009086861198284956,DecisionTreeClassifier(max_depth=2),0.5,100,50,"{'ada_boost__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost__learning_rate': 0.5, 'ada_boost__n_estimators': 100, 'pca__n_components': 50}",0.9258698940998488,0.9155145929339478,0.9233128834355828,0.9367469879518072,0.8761609907120743,0.9155210698266523,0.020820979771689768,46
7,12.733231782913208,0.3332254252349335,0.08796854019165039,0.014939992471054151,DecisionTreeClassifier(max_depth=2),0.5,100,100,"{'ada_boost__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost__learning_rate': 0.5, 'ada_boost__n_estimators': 100, 'pca__n_components': 100}",0.9162861491628614,0.9188361408882083,0.9251908396946565,0.927710843373494,0.8946564885496183,0.9165360923337676,0.011694866133252713,44
8,2.993587064743042,0.03526201810831821,0.05600385665893555,0.01646946202258554,DecisionTreeClassifier(max_depth=2),0.5,200,10,"{'ada_boost__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost__learning_rate': 0.5, 'ada_boost__n_estimators': 200, 'pca__n_components': 10}",0.924219910846954,0.9147982062780269,0.9272727272727272,0.9194029850746268,0.8855421686746988,0.9142471996294068,0.014966521796397493,48
9,6.874536561965942,0.11826530159643639,0.0576901912689209,0.002393808559946451,DecisionTreeClassifier(max_depth=2),0.5,200,25,"{'ada_boost__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost__learning_rate': 0.5, 'ada_boost__n_estimators': 200, 'pca__n_components': 25}",0.9341317365269461,0.9272727272727272,0.9282442748091603,0.9379727685325264,0.8943338437978561,0.9243910701878433,0.015530171295405883,24
10,12.976928472518921,0.09174663928070992,0.06637639999389648,0.005863324047387838,DecisionTreeClassifier(max_depth=2),0.5,200,50,"{'ada_boost__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost__learning_rate': 0.5, 'ada_boost__n_estimators': 200, 'pca__n_components': 50}",0.9357249626307922,0.9261538461538461,0.9280245022970903,0.9355322338830585,0.9024390243902439,0.9255749138710062,0.01219653016033508,23
11,24.454408740997316,0.16394038393705923,0.09979887008666992,0.0020860085643055557,DecisionTreeClassifier(max_depth=2),0.5,200,100,"{'ada_boost__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost__learning_rate': 0.5, 'ada_boost__n_estimators': 200, 'pca__n_components': 100}",0.928679817905918,0.9249617151607963,0.9298780487804879,0.9347496206373292,0.891640866873065,0.9219820138715192,0.01548989057190751,29
