mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gbdt__learning_rate,param_gbdt__max_depth,param_gbdt__max_features,param_gbdt__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9449221611022949,0.050669257877216864,0.0065536975860595705,0.0009001376094186932,0.1,1,sqrt,100,"{'gbdt__learning_rate': 0.1, 'gbdt__max_depth': 1, 'gbdt__max_features': 'sqrt', 'gbdt__n_estimators': 100}",0.8871224165341812,0.8766233766233766,0.864951768488746,0.8938193343898574,0.8938193343898574,0.8832672460852038,0.011109934251661709,297
1.8343923568725586,0.03348795547419778,0.010574436187744141,0.0024097013916944353,0.1,1,sqrt,200,"{'gbdt__learning_rate': 0.1, 'gbdt__max_depth': 1, 'gbdt__max_features': 'sqrt', 'gbdt__n_estimators': 200}",0.9183359013867488,0.9149922720247295,0.9076923076923077,0.9240121580547113,0.9230769230769231,0.917621912447084,0.005943302439559642,264
2.6566652774810793,0.04216660556917269,0.011299943923950196,0.002497722327382101,0.1,1,sqrt,300,"{'gbdt__learning_rate': 0.1, 'gbdt__max_depth': 1, 'gbdt__max_features': 'sqrt', 'gbdt__n_estimators': 300}",0.9319213313161876,0.9361702127659575,0.9107413010590015,0.9307228915662651,0.9415292353823088,0.9302169944179441,0.010448645197669672,74
3.5321436405181883,0.04373457097120821,0.009534645080566406,0.004015446200165211,0.1,1,sqrt,400,"{'gbdt__learning_rate': 0.1, 'gbdt__max_depth': 1, 'gbdt__max_features': 'sqrt', 'gbdt__n_estimators': 400}",0.9265367316341829,0.9393939393939394,0.9154078549848943,0.9327354260089686,0.9462686567164179,0.9320685217476807,0.01062006456625009,41
4.110712146759033,0.3686622204409946,0.009694528579711915,0.0029284670362625487,0.1,1,sqrt,500,"{'gbdt__learning_rate': 0.1, 'gbdt__max_depth': 1, 'gbdt__max_features': 'sqrt', 'gbdt__n_estimators': 500}",0.9309309309309309,0.939209726443769,0.9216867469879518,0.9343283582089552,0.950965824665676,0.9354243174474567,0.009653810222420353,8
1.3987204551696777,0.06469956611909453,0.004504108428955078,0.0001874750401936596,0.1,1,100,100,"{'gbdt__learning_rate': 0.1, 'gbdt__max_depth': 1, 'gbdt__max_features': 100, 'gbdt__n_estimators': 100}",0.8941548183254344,0.8977635782747604,0.8836477987421384,0.8958990536277602,0.9010989010989011,0.894512830013799,0.005899871005458239,295
2.65042781829834,0.03561224739356706,0.004942560195922851,0.0005283504528745421,0.1,1,100,200,"{'gbdt__learning_rate': 0.1, 'gbdt__max_depth': 1, 'gbdt__max_features': 100, 'gbdt__n_estimators': 200}",0.9202453987730062,0.9294478527607362,0.9090909090909091,0.9256449165402124,0.9427710843373494,0.9254400323004426,0.011052131145661443,185
3.995743656158447,0.048279295900140996,0.006617355346679688,0.0016573623404258588,0.1,1,100,300,"{'gbdt__learning_rate': 0.1, 'gbdt__max_depth': 1, 'gbdt__max_features': 100, 'gbdt__n_estimators': 300}",0.9288956127080181,0.9345509893455098,0.918429003021148,0.9293233082706767,0.9494047619047619,0.9321207350500229,0.010102814032865197,40
5.358946132659912,0.2781731902130974,0.015752649307250975,0.018805887420633133,0.1,1,100,400,"{'gbdt__learning_rate': 0.1, 'gbdt__max_depth': 1, 'gbdt__max_features': 100, 'gbdt__n_estimators': 400}",0.9209726443768997,0.9393939393939394,0.9172932330827067,0.9251497005988024,0.9464285714285714,0.929847617776184,0.01117594232382756,80
6.247230911254883,0.6900401705179874,0.009060096740722657,0.0017553598570675415,0.1,1,100,500,"{'gbdt__learning_rate': 0.1, 'gbdt__max_depth': 1, 'gbdt__max_features': 100, 'gbdt__n_estimators': 500}",0.9214501510574018,0.9393939393939394,0.9172932330827067,0.9295352323838081,0.9464285714285714,0.9308202254692854,0.010858711330421158,58
1.8025085926055908,0.046487550914164816,0.004784440994262696,0.0010479634183074547,0.1,1,130,100,"{'gbdt__learning_rate': 0.1, 'gbdt__max_depth': 1, 'gbdt__max_features': 130, 'gbdt__n_estimators': 100}",0.903125,0.8990536277602523,0.8801261829652997,0.9051321928460342,0.9048361934477379,0.8984546394038648,0.00941718984153236,294
3.560987043380737,0.02340967605072298,0.0060541629791259766,0.0017942460434586204,0.1,1,130,200,"{'gbdt__learning_rate': 0.1, 'gbdt__max_depth': 1, 'gbdt__max_features': 130, 'gbdt__n_estimators': 200}",0.9188361408882083,0.9209726443768997,0.9071537290715372,0.9209726443768997,0.9355322338830585,0.9206934785193207,0.009023514238716886,221
5.299014520645142,0.07091775517270929,0.010265922546386719,0.0032811241311969776,0.1,1,130,300,"{'gbdt__learning_rate': 0.1, 'gbdt__max_depth': 1, 'gbdt__max_features': 130, 'gbdt__n_estimators': 300}",0.9226100151745068,0.9408194233687405,0.9110105580693816,0.9279279279279279,0.9464285714285714,0.9297592991938256,0.01269781445804328,84
6.921655225753784,0.2702487650746094,0.01077284812927246,0.004637851465586568,0.1,1,130,400,"{'gbdt__learning_rate': 0.1, 'gbdt__max_depth': 1, 'gbdt__max_features': 130, 'gbdt__n_estimators': 400}",0.9223744292237442,0.9470499243570348,0.9159159159159159,0.9281437125748503,0.9481481481481482,0.9323264260439388,0.013061014265777127,34
