mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logit_pca__C,param_logit_pca__class_weight,param_logit_pca__l1_ratio,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.6138444423675538,0.20441272395565657,0.02936415672302246,0.0059433727598703365,0.01,,0.1,5,"{'logit_pca__C': 0.01, 'logit_pca__class_weight': None, 'logit_pca__l1_ratio': 0.1, 'pca__n_components': 5}",0.8831562974203339,0.8706240487062404,0.8579970104633782,0.8830769230769231,0.9159159159159159,0.8821540391165582,0.019278087424531385,72
1.227961778640747,0.050910140648386296,0.02983226776123047,0.008358347670741407,0.01,,0.1,10,"{'logit_pca__C': 0.01, 'logit_pca__class_weight': None, 'logit_pca__l1_ratio': 0.1, 'pca__n_components': 10}",0.9289940828402367,0.9288956127080181,0.9177877428998505,0.9461077844311377,0.9498525073746312,0.934327546050775,0.011927407583670925,32
1.5389143466949462,0.03187146725869228,0.04677400588989258,0.008262507827846594,0.01,,0.1,20,"{'logit_pca__C': 0.01, 'logit_pca__class_weight': None, 'logit_pca__l1_ratio': 0.1, 'pca__n_components': 20}",0.9410029498525073,0.9365558912386707,0.9244444444444444,0.9353383458646617,0.9587020648967551,0.9392087392594078,0.011164326088845952,21
1.2743397235870362,0.07471688314125931,0.0462552547454834,0.021485888977974845,0.01,,0.5,5,"{'logit_pca__C': 0.01, 'logit_pca__class_weight': None, 'logit_pca__l1_ratio': 0.5, 'pca__n_components': 5}",0.8858447488584474,0.8702290076335878,0.8571428571428571,0.884437596302003,0.9159159159159159,0.8827140251705622,0.01962089689347107,68
1.1530515670776367,0.06572801652553481,0.036365175247192384,0.008640407346188634,0.01,,0.5,10,"{'logit_pca__C': 0.01, 'logit_pca__class_weight': None, 'logit_pca__l1_ratio': 0.5, 'pca__n_components': 10}",0.9269746646795827,0.9303030303030303,0.9140271493212669,0.9459459459459459,0.9512555391432792,0.9337012658786211,0.01343093988395381,36
1.382495927810669,0.015131473783487571,0.04172592163085938,0.004397722394539816,0.01,,0.5,20,"{'logit_pca__C': 0.01, 'logit_pca__class_weight': None, 'logit_pca__l1_ratio': 0.5, 'pca__n_components': 20}",0.9376854599406528,0.9349470499243571,0.9212481426448736,0.9379727685325264,0.9556213017751479,0.9374949445635116,0.010947874472187036,23
1.191873598098755,0.18587901467847842,0.030418205261230468,0.011815725126654119,0.01,,0.9,5,"{'logit_pca__C': 0.01, 'logit_pca__class_weight': None, 'logit_pca__l1_ratio': 0.9, 'pca__n_components': 5}",0.8841463414634146,0.8728943338437979,0.8571428571428571,0.884437596302003,0.9172932330827067,0.8831828723669558,0.019748193491180156,61
1.089158010482788,0.025070175605340448,0.030053472518920897,0.009766003247708613,0.01,,0.9,10,"{'logit_pca__C': 0.01, 'logit_pca__class_weight': None, 'logit_pca__l1_ratio': 0.9, 'pca__n_components': 10}",0.9265367316341829,0.9303030303030303,0.9074355083459787,0.9393939393939394,0.9436201780415431,0.929457877543735,0.012597842689722902,48
1.3641483783721924,0.02245077854681678,0.03023843765258789,0.004929438488615399,0.01,,0.9,20,"{'logit_pca__C': 0.01, 'logit_pca__class_weight': None, 'logit_pca__l1_ratio': 0.9, 'pca__n_components': 20}",0.9359165424739195,0.9377845220030349,0.9159159159159159,0.9393939393939394,0.9553571428571429,0.9368736125287906,0.012561558242382255,24
1.2775984764099122,0.16631051697680257,0.024926471710205077,0.006810263363344712,0.01,balanced,0.1,5,"{'logit_pca__C': 0.01, 'logit_pca__class_weight': 'balanced', 'logit_pca__l1_ratio': 0.1, 'pca__n_components': 5}",0.8895348837209303,0.8782608695652174,0.8693181818181818,0.8925373134328358,0.914616497829233,0.8888535492732796,0.015307509910581656,60
1.1559222221374512,0.032183378594590036,0.03189229965209961,0.0048806579314064884,0.01,balanced,0.1,10,"{'logit_pca__C': 0.01, 'logit_pca__class_weight': 'balanced', 'logit_pca__l1_ratio': 0.1, 'pca__n_components': 10}",0.9290882778581766,0.9264705882352942,0.9199417758369723,0.9410029498525073,0.9481268011527377,0.9329260785871376,0.010210700308789858,44
1.370811128616333,0.04508026795085069,0.026939249038696288,0.005212320731771904,0.01,balanced,0.1,20,"{'logit_pca__C': 0.01, 'logit_pca__class_weight': 'balanced', 'logit_pca__l1_ratio': 0.1, 'pca__n_components': 20}",0.9461426491994177,0.9423929098966026,0.9331395348837209,0.9427312775330396,0.9608127721335269,0.9450438287292615,0.008988375361165412,2
1.1424471855163574,0.20756969442330422,0.026541662216186524,0.004072870306457929,0.01,balanced,0.5,5,"{'logit_pca__C': 0.01, 'logit_pca__class_weight': 'balanced', 'logit_pca__l1_ratio': 0.5, 'pca__n_components': 5}",0.8905109489051095,0.8808139534883721,0.8693181818181818,0.8925373134328358,0.914616497829233,0.8895593790947466,0.014992140030866593,59
1.042362117767334,0.022311057282944195,0.02748594284057617,0.0033806279739420205,0.01,balanced,0.5,10,"{'logit_pca__C': 0.01, 'logit_pca__class_weight': 'balanced', 'logit_pca__l1_ratio': 0.5, 'pca__n_components': 10}",0.9288824383164006,0.9276218611521418,0.9167883211678832,0.9437869822485208,0.9494949494949495,0.9333149104759793,0.011803759774514387,37
