,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ada_boost_l__estimator,param_ada_boost_l__learning_rate,param_ada_boost_l__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.3182329654693605,0.013756114842816894,0.07907848358154297,0.008640484442412607,LogisticRegression(),0.005,100,8,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.005, 'ada_boost_l__n_estimators': 100, 'pca__n_components': 8}",0.9254185692541856,0.9218989280245024,0.9056603773584906,0.9375951293759512,0.8953846153846153,0.917191523879549,0.014930905162310807,120
1,2.2617648601531983,0.18647339747719743,0.10480480194091797,0.026906441668837707,LogisticRegression(),0.005,100,10,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.005, 'ada_boost_l__n_estimators': 100, 'pca__n_components': 10}",0.9296636085626911,0.9270516717325228,0.9107981220657277,0.934351145038168,0.8984615384615384,0.9200652171721296,0.013398696840708381,119
2,2.1616929531097413,0.04479153522441001,0.15366725921630858,0.0361360042070804,LogisticRegression(),0.005,100,12,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.005, 'ada_boost_l__n_estimators': 100, 'pca__n_components': 12}",0.928462709284627,0.928462709284627,0.9230769230769231,0.9393939393939394,0.8990825688073395,0.9236957699694912,0.013402034077497672,116
3,2.441221237182617,0.1168209695716106,0.07666759490966797,0.01786331221952744,LogisticRegression(),0.005,100,15,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.005, 'ada_boost_l__n_estimators': 100, 'pca__n_components': 15}",0.926829268292683,0.934351145038168,0.9178294573643411,0.9502262443438914,0.9146341463414634,0.9287740522761094,0.012765608411314723,83
4,2.5937600135803223,0.0899081948104776,0.10367074012756347,0.045259202784175515,LogisticRegression(),0.005,100,25,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.005, 'ada_boost_l__n_estimators': 100, 'pca__n_components': 25}",0.9258698940998488,0.9357798165137615,0.9244992295839753,0.9502262443438914,0.9162861491628614,0.9305322667408676,0.011631652113727782,61
5,2.7808117389678957,0.10153260999848542,0.08942461013793945,0.01188355297075707,LogisticRegression(),0.005,200,8,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.005, 'ada_boost_l__n_estimators': 200, 'pca__n_components': 8}",0.9293233082706767,0.9288956127080181,0.9107981220657277,0.9395770392749244,0.906060606060606,0.9229309376759905,0.012532723183292684,117
6,2.769408178329468,0.09335564574979664,0.0864518165588379,0.027274167733325635,LogisticRegression(),0.005,200,10,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.005, 'ada_boost_l__n_estimators': 200, 'pca__n_components': 10}",0.9321266968325792,0.9279279279279279,0.9166666666666666,0.9424242424242424,0.9033232628398792,0.9244937593382592,0.013423939615990612,114
7,2.89527907371521,0.18354416725768805,0.1649146556854248,0.04415675169485102,LogisticRegression(),0.005,200,12,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.005, 'ada_boost_l__n_estimators': 200, 'pca__n_components': 12}",0.9307228915662651,0.9369369369369369,0.9296636085626911,0.9413533834586466,0.9055472263868066,0.9288448093822692,0.012400983444899866,81
8,3.0364240169525147,0.07418786934824832,0.1841888427734375,0.08127747686604296,LogisticRegression(),0.005,200,15,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.005, 'ada_boost_l__n_estimators': 200, 'pca__n_components': 15}",0.9279279279279279,0.9425981873111783,0.9278033794162827,0.9505247376311844,0.918918918918919,0.9335546302410984,0.011390444944671795,45
9,3.3394895076751707,0.07739990376546943,0.13307504653930663,0.04261491527180138,LogisticRegression(),0.005,200,25,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.005, 'ada_boost_l__n_estimators': 200, 'pca__n_components': 25}",0.9311377245508982,0.9363636363636364,0.9310872894333844,0.9505247376311844,0.9244712990936556,0.9347169374145518,0.00875849734727413,44
10,3.0977006912231446,0.16671381961224593,0.14194116592407227,0.06249872269797304,LogisticRegression(),0.005,300,8,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.005, 'ada_boost_l__n_estimators': 300, 'pca__n_components': 8}",0.9329359165424739,0.9329359165424739,0.9178294573643411,0.9385307346326837,0.9085457271364318,0.9261555504436808,0.011176060266994187,113
11,3.186221647262573,0.130596658042468,0.11710309982299805,0.08005214411275542,LogisticRegression(),0.005,300,10,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.005, 'ada_boost_l__n_estimators': 300, 'pca__n_components': 10}",0.9329359165424739,0.9313432835820895,0.9251908396946565,0.9443609022556391,0.9104477611940298,0.9288557406537779,0.011095322872574687,80
12,3.235141658782959,0.17785247010396887,0.14762110710144044,0.08700556111029357,LogisticRegression(),0.005,300,12,"{'ada_boost_l__estimator': LogisticRegression(), 'ada_boost_l__learning_rate': 0.005, 'ada_boost_l__n_estimators': 300, 'pca__n_components': 12}",0.9299552906110283,0.937125748502994,0.9298780487804879,0.9420505200594353,0.9120715350223547,0.9302162285952601,0.010170587779354649,65
