mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_rf_pca__criterion,param_rf_pca__max_features,param_rf_pca__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2083683013916016,0.052495332334923345,0.015151691436767579,0.002827452703771481,5,gini,sqrt,100,"{'pca__n_components': 5, 'rf_pca__criterion': 'gini', 'rf_pca__max_features': 'sqrt', 'rf_pca__n_estimators': 100}",0.8761329305135952,0.8702290076335878,0.8460388639760837,0.875,0.8941877794336811,0.8723177163113895,0.015459566295141959,33
1.7280460357666017,0.05282692993009743,0.025891733169555665,0.0017515881600874148,5,gini,sqrt,200,"{'pca__n_components': 5, 'rf_pca__criterion': 'gini', 'rf_pca__max_features': 'sqrt', 'rf_pca__n_estimators': 200}",0.8696969696969697,0.8767123287671232,0.8490284005979073,0.874051593323217,0.8958333333333334,0.8730645251437101,0.014978485331368134,29
2.1091331958770754,0.06925557939707216,0.03530559539794922,0.003870957855164203,5,gini,sqrt,300,"{'pca__n_components': 5, 'rf_pca__criterion': 'gini', 'rf_pca__max_features': 'sqrt', 'rf_pca__n_estimators': 300}",0.8731117824773413,0.8767123287671232,0.8490284005979073,0.8723404255319149,0.8941877794336811,0.8730761433615936,0.014406661687174851,28
1.0877543926239013,0.020373148710633737,0.017676448822021483,0.0021003372842536274,5,gini,log2,100,"{'pca__n_components': 5, 'rf_pca__criterion': 'gini', 'rf_pca__max_features': 'log2', 'rf_pca__n_estimators': 100}",0.8761329305135952,0.8685015290519877,0.8460388639760837,0.8736681887366818,0.8941877794336811,0.8717058583424059,0.015478687350946707,36
1.6350064754486084,0.07182533706731954,0.02528271675109863,0.006325129865958343,5,gini,log2,200,"{'pca__n_components': 5, 'rf_pca__criterion': 'gini', 'rf_pca__max_features': 'log2', 'rf_pca__n_estimators': 200}",0.8696969696969697,0.878419452887538,0.8490284005979073,0.8723404255319149,0.8958333333333334,0.8730637164095327,0.015077757839700405,30
2.291723918914795,0.06225891585197597,0.033065414428710936,0.004687860536513059,5,gini,log2,300,"{'pca__n_components': 5, 'rf_pca__criterion': 'gini', 'rf_pca__max_features': 'log2', 'rf_pca__n_estimators': 300}",0.8731117824773413,0.8767123287671232,0.8502994011976048,0.8723404255319149,0.8941877794336811,0.8733303434815329,0.013985152612074486,26
1.2792953491210937,0.0207798870157363,0.015025758743286132,0.0016687599000022415,5,entropy,sqrt,100,"{'pca__n_components': 5, 'rf_pca__criterion': 'entropy', 'rf_pca__max_features': 'sqrt', 'rf_pca__n_estimators': 100}",0.8828828828828829,0.8619119878603946,0.8473053892215568,0.867579908675799,0.9006024096385542,0.8720565156558375,0.018262792801865397,35
1.8929226398468018,0.02266752294039848,0.021433353424072266,0.0023701548657597384,5,entropy,sqrt,200,"{'pca__n_components': 5, 'rf_pca__criterion': 'entropy', 'rf_pca__max_features': 'sqrt', 'rf_pca__n_estimators': 200}",0.8835098335854765,0.8650306748466258,0.8502994011976048,0.8732824427480916,0.8938714499252616,0.8731987604606122,0.014998557255063273,27
2.437560796737671,0.09412822012263056,0.034771966934204104,0.004476499156994349,5,entropy,sqrt,300,"{'pca__n_components': 5, 'rf_pca__criterion': 'entropy', 'rf_pca__max_features': 'sqrt', 'rf_pca__n_estimators': 300}",0.8818181818181818,0.8628048780487805,0.8473053892215568,0.875,0.8938714499252616,0.8721599798027562,0.015987514613336567,34
1.2675511837005615,0.20193372281991903,0.014323806762695313,0.0028341335574441507,5,entropy,log2,100,"{'pca__n_components': 5, 'rf_pca__criterion': 'entropy', 'rf_pca__max_features': 'log2', 'rf_pca__n_estimators': 100}",0.8828828828828829,0.8619119878603946,0.8473053892215568,0.8706240487062404,0.9022556390977443,0.872995989553764,0.018667436318305156,31
1.9299396514892577,0.080571922074908,0.029809331893920897,0.0031156034490317395,5,entropy,log2,200,"{'pca__n_components': 5, 'rf_pca__criterion': 'entropy', 'rf_pca__max_features': 'log2', 'rf_pca__n_estimators': 200}",0.8821752265861027,0.8685015290519877,0.8515742128935532,0.8746177370030581,0.8952095808383234,0.874415657274605,0.014486873391705972,25
2.5923746109008787,0.0685147057311916,0.03565115928649902,0.0042339018925137304,5,entropy,log2,300,"{'pca__n_components': 5, 'rf_pca__criterion': 'entropy', 'rf_pca__max_features': 'log2', 'rf_pca__n_estimators': 300}",0.8818181818181818,0.867175572519084,0.8460388639760837,0.875,0.8938714499252616,0.8727808136477222,0.01598727212789383,32
1.4303009986877442,0.03982318656288587,0.019583749771118163,0.0020595885651810714,10,gini,sqrt,100,"{'pca__n_components': 10, 'rf_pca__criterion': 'gini', 'rf_pca__max_features': 'sqrt', 'rf_pca__n_estimators': 100}",0.9129129129129129,0.9065849923430321,0.8949771689497716,0.9063444108761329,0.9319213313161876,0.9105481632796074,0.012151036789592246,20
2.237816333770752,0.04929989414435801,0.023438024520874023,0.0037537319273290085,10,gini,sqrt,200,"{'pca__n_components': 10, 'rf_pca__criterion': 'gini', 'rf_pca__max_features': 'sqrt', 'rf_pca__n_estimators': 200}",0.9129129129129129,0.9113149847094801,0.9066265060240963,0.9030303030303031,0.9305135951661632,0.9128796603685911,0.009481737723943888,13
