mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.6095293045043946,0.012083059277792827,0.032004165649414065,0.001853283922755143,5,{'pca__n_components': 5},0.8431372549019608,0.8313856427378965,0.8242811501597445,0.8453947368421053,0.8817891373801917,0.8451975844043798,0.01985695107529039,20
1.2578492641448975,0.10006820522423374,0.036199951171875,0.01244447487596816,10,{'pca__n_components': 10},0.9079563182527302,0.9107981220657277,0.9003115264797508,0.915625,0.9175738724727839,0.9104529678541985,0.006109966005106798,19
1.3022454261779786,0.202940402624779,0.04865713119506836,0.03172457094135166,20,{'pca__n_components': 20},0.9249617151607963,0.9261538461538461,0.916030534351145,0.9256965944272446,0.9452887537993921,0.927626288778485,0.009585571985959822,17
1.3061870098114015,0.04470087470836876,0.027688026428222656,0.005576764959209778,30,{'pca__n_components': 30},0.9315068493150684,0.9244992295839753,0.9188361408882083,0.9312977099236641,0.943683409436834,0.9299646678295501,0.008319547143285389,13
1.432652521133423,0.109747726649476,0.026409721374511717,0.002671732999506485,40,{'pca__n_components': 40},0.9300911854103343,0.9197530864197531,0.9204892966360856,0.926605504587156,0.9484848484848485,0.9290847843076355,0.01043537402275887,14
1.5008811950683594,0.028209764257298108,0.03419332504272461,0.006706598130999949,50,{'pca__n_components': 50},0.9321266968325792,0.9261538461538461,0.9190839694656489,0.9312977099236641,0.9468892261001517,0.9311102896951781,0.009156874518358353,7
1.6919520854949952,0.046937984048301525,0.03361077308654785,0.0055896480977840265,60,{'pca__n_components': 60},0.9319213313161876,0.9308755760368663,0.916030534351145,0.9325153374233128,0.9468892261001517,0.9316464010455328,0.009773677061771017,6
1.891833448410034,0.22843194300546843,0.03828577995300293,0.004044348216236511,70,{'pca__n_components': 70},0.9333333333333333,0.9261538461538461,0.9207317073170732,0.9296636085626911,0.9404580152671755,0.930068102126824,0.006652297540022869,12
2.0383594036102295,0.0685536374135494,0.042565536499023435,0.005573408450657618,80,{'pca__n_components': 80},0.9379727685325264,0.9294478527607362,0.9190839694656489,0.9345509893455098,0.9406392694063926,0.9323389699021627,0.007610273106565709,4
2.354107904434204,0.05595221644520784,0.045024776458740236,0.007849248873932981,90,{'pca__n_components': 90},0.9333333333333333,0.9275808936825886,0.9256449165402124,0.9294478527607362,0.9484848484848485,0.9328983689603436,0.008196605582288035,2
2.4719687938690185,0.04022622112305913,0.05040445327758789,0.00653765855341515,100,{'pca__n_components': 100},0.926829268292683,0.9261538461538461,0.9223744292237442,0.926829268292683,0.9374045801526718,0.9279182784231257,0.005024127622000875,16
4.244745445251465,0.05363839459529079,0.06567935943603516,0.006743767221433095,200,{'pca__n_components': 200},0.9254185692541856,0.9247311827956989,0.918429003021148,0.9347496206373292,0.9470499243570348,0.9300756600130793,0.009958595363673444,11
6.0963763236999515,0.03977628486799816,0.10073919296264648,0.008791349678623701,300,{'pca__n_components': 300},0.926829268292683,0.9374045801526718,0.9223744292237442,0.9361702127659575,0.9374045801526718,0.9320366141175457,0.006248056080996824,5
5.390658664703369,0.11645845182431556,0.11967887878417968,0.007791577740207443,400,{'pca__n_components': 400},0.9315068493150684,0.9278033794162827,0.9221374045801527,0.9319213313161876,0.9484848484848485,0.932370762622508,0.008788568757838795,3
6.886633014678955,0.10493320383753917,0.13783864974975585,0.014338131637279766,500,{'pca__n_components': 500},0.9270516717325228,0.9282442748091603,0.9209726443768997,0.9288956127080181,0.9454545454545454,0.9301237498162293,0.008163999466887445,10
8.2867112159729,0.11307185943904684,0.16857452392578126,0.007121704547459193,600,"{'pca__n_components': 600, 'MODEL_NAME': 'lda_pca_extra', 'TIME_ELAPSED_MIN': 0.9349535504976908}",0.9337349397590361,0.9282442748091603,0.9282442748091603,0.9351432880844646,0.9451219512195121,0.9340977457362667,0.0061852103813010055,1
9.906135416030883,0.07304176038847414,0.1924070358276367,0.011178289155988494,700,{'pca__n_components': 700},0.9365558912386707,0.9240121580547113,0.9209726443768997,0.9335347432024169,0.9404580152671755,0.9311066904279748,0.0074305825472786675,8
11.917384576797485,0.05603705132277649,0.22357759475708008,0.025440021086447,800,{'pca__n_components': 800},0.9303030303030303,0.9226100151745068,0.9251908396946565,0.9274924471299094,0.9486404833836858,0.9308473631371579,0.009251994884031894,9
13.264507961273193,0.1778315308128788,0.224473237991333,0.00829933803609979,900,{'pca__n_components': 900},0.9385307346326837,0.9151515151515152,0.9258698940998488,0.9223744292237442,0.9411764705882353,0.9286206087392055,0.009837255040274275,15
12.981344413757324,0.8387349038236661,0.15675702095031738,0.007403440158523262,1000,{'pca__n_components': 1000},0.9325337331334332,0.913767019667171,0.916030534351145,0.9242424242424242,0.945619335347432,0.926438609348321,0.011651362349720697,18
