mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn_pca__n_neighbors,param_knn_pca__p,param_knn_pca__weights,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.749090814590454,0.11071494642878302,0.07032899856567383,0.011473303607657135,3,1,uniform,5,"{'knn_pca__n_neighbors': 3, 'knn_pca__p': 1, 'knn_pca__weights': 'uniform', 'pca__n_components': 5}",0.867579908675799,0.8575803981623277,0.8375558867362146,0.8780487804878049,0.9041916167664671,0.8689913181657227,0.022097448570045086,31
1.233759880065918,0.09766685797273164,0.07055306434631348,0.014938199027670346,3,1,uniform,10,"{'knn_pca__n_neighbors': 3, 'knn_pca__p': 1, 'knn_pca__weights': 'uniform', 'pca__n_components': 10}",0.8930232558139535,0.8751974723538705,0.889922480620155,0.9102167182662538,0.9167927382753404,0.8970305330659146,0.014884122113706669,6
1.3457814693450927,0.08801863990385801,0.07729792594909668,0.006246279884622668,3,1,uniform,20,"{'knn_pca__n_neighbors': 3, 'knn_pca__p': 1, 'knn_pca__weights': 'uniform', 'pca__n_components': 20}",0.861198738170347,0.8622366288492707,0.8785942492012779,0.8979591836734694,0.9007874015748032,0.8801552402938336,0.01688507495416725,22
1.0785039424896241,0.028236447844580254,0.046393299102783205,0.012109770594582767,3,1,distance,5,"{'knn_pca__n_neighbors': 3, 'knn_pca__p': 1, 'knn_pca__weights': 'distance', 'pca__n_components': 5}",0.8619119878603946,0.8575803981623277,0.8380386329866271,0.8780487804878049,0.9041916167664671,0.8679542832527242,0.02215453078237335,33
1.0747034072875976,0.040788321649089895,0.0577082633972168,0.011072164526485313,3,1,distance,10,"{'knn_pca__n_neighbors': 3, 'knn_pca__p': 1, 'knn_pca__weights': 'distance', 'pca__n_components': 10}",0.8930232558139535,0.8755905511811024,0.8885448916408669,0.9102167182662538,0.9167927382753404,0.8968336310355033,0.014912837338473487,7
1.211247491836548,0.05217149889846403,0.0728640079498291,0.01363724064859209,3,1,distance,20,"{'knn_pca__n_neighbors': 3, 'knn_pca__p': 1, 'knn_pca__weights': 'distance', 'pca__n_components': 20}",0.8755905511811024,0.8646003262642741,0.8680445151033387,0.9010989010989011,0.8832807570977917,0.8785230101490816,0.012996509599003288,24
0.9963228225708007,0.04301889197322674,0.04438343048095703,0.005474471913406751,3,2,uniform,5,"{'knn_pca__n_neighbors': 3, 'knn_pca__p': 2, 'knn_pca__weights': 'uniform', 'pca__n_components': 5}",0.8731117824773413,0.8636363636363636,0.8313609467455622,0.8715596330275229,0.9034175334323923,0.8686172518638365,0.023033712372083858,32
0.9593924522399903,0.03939750994781705,0.05982275009155273,0.00805692695842404,3,2,uniform,10,"{'knn_pca__n_neighbors': 3, 'knn_pca__p': 2, 'knn_pca__weights': 'uniform', 'pca__n_components': 10, 'MODEL_NAME': 'knn_pca', 'TIME_ELAPSED_MIN': 0.30652381579081217}",0.9060092449922958,0.8867924528301887,0.8947368421052632,0.9096477794793262,0.9148936170212766,0.9024159872856702,0.010236851690639294,1
1.1994126796722413,0.044517578672993253,0.040953969955444335,0.005960803729130203,3,2,uniform,20,"{'knn_pca__n_neighbors': 3, 'knn_pca__p': 2, 'knn_pca__weights': 'uniform', 'pca__n_components': 20}",0.8748019017432647,0.8856682769726248,0.8757961783439491,0.8982785602503912,0.89375,0.885658983462046,0.009379440298328903,14
1.1957323551177979,0.16686444229668018,0.027141809463500977,0.008784806732819698,3,2,distance,5,"{'knn_pca__n_neighbors': 3, 'knn_pca__p': 2, 'knn_pca__weights': 'distance', 'pca__n_components': 5}",0.8700906344410876,0.8636363636363636,0.8289085545722714,0.8680981595092024,0.9034175334323923,0.8668302491182635,0.023660612436733956,34
0.9730492115020752,0.022351158519713147,0.041816997528076175,0.010501930795481944,3,2,distance,10,"{'knn_pca__n_neighbors': 3, 'knn_pca__p': 2, 'knn_pca__weights': 'distance', 'pca__n_components': 10}",0.9060092449922958,0.8867924528301887,0.8947368421052632,0.908256880733945,0.9148936170212766,0.902137807536594,0.010053814805919365,2
1.120367670059204,0.04794033087667534,0.04396200180053711,0.017442362283661174,3,2,distance,20,"{'knn_pca__n_neighbors': 3, 'knn_pca__p': 2, 'knn_pca__weights': 'distance', 'pca__n_components': 20}",0.8773584905660378,0.8820678513731826,0.8885400313971743,0.9040247678018576,0.8996865203761756,0.8903355323028856,0.010147099390375582,11
0.9362266540527344,0.0267728056855447,0.04377579689025879,0.008003287608104231,5,1,uniform,5,"{'knn_pca__n_neighbors': 5, 'knn_pca__p': 1, 'knn_pca__weights': 'uniform', 'pca__n_components': 5}",0.8736681887366818,0.875,0.8580060422960725,0.8680981595092024,0.9107142857142857,0.8770973352512484,0.017842196334226207,27
0.8751185894012451,0.03252208306462857,0.06329784393310547,0.008522426079973193,5,1,uniform,10,"{'knn_pca__n_neighbors': 5, 'knn_pca__p': 1, 'knn_pca__weights': 'uniform', 'pca__n_components': 10}",0.9026275115919629,0.8924558587479936,0.8840125391849529,0.8836477987421384,0.9164086687306502,0.8958304753995396,0.012402669117810045,9
1.0649182796478271,0.024379814280443536,0.06205992698669434,0.012493028011859081,5,1,uniform,20,"{'knn_pca__n_neighbors': 5, 'knn_pca__p': 1, 'knn_pca__weights': 'uniform', 'pca__n_components': 20}",0.8745980707395499,0.8599670510708401,0.8768,0.89171974522293,0.9045383411580594,0.8815246416382759,0.015287902647434105,19
