mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logit__C,param_logit__class_weight,param_logit__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9.825271368026733,0.18525664265473982,0.01750969886779785,0.0016185124501322749,0.001,,0.0,"{'logit__C': 0.001, 'logit__class_weight': None, 'logit__l1_ratio': 0.0}",0.9323308270676691,0.9487951807228916,0.9280245022970903,0.9520958083832335,0.9204892966360856,0.9363471230213941,0.012164230659940073,266
5.489123296737671,0.1445503970950806,0.021195507049560545,0.0036724268733385255,0.001,,0.1,"{'logit__C': 0.001, 'logit__class_weight': None, 'logit__l1_ratio': 0.1}",0.8982785602503912,0.9153605015673981,0.8977635782747604,0.9280245022970903,0.8952380952380953,0.9069330475255472,0.01274066459295038,269
4.865991544723511,0.1820858605575923,0.019493532180786134,0.004645587266516082,0.001,,0.2,"{'logit__C': 0.001, 'logit__class_weight': None, 'logit__l1_ratio': 0.2}",0.8817891373801917,0.8711256117455138,0.8651315789473685,0.8839427662957074,0.8613376835236541,0.8726653555784871,0.008920405174997429,272
4.174384021759034,0.1494839452814626,0.011566972732543946,0.004095992160850989,0.001,,0.3,"{'logit__C': 0.001, 'logit__class_weight': None, 'logit__l1_ratio': 0.3}",0.8538587848932676,0.8291032148900169,0.8082901554404145,0.847682119205298,0.8225255972696246,0.8322919743397243,0.016635032280188124,274
3.985982370376587,0.06476926887620134,0.012891864776611328,0.0030567496555779063,0.001,,0.4,"{'logit__C': 0.001, 'logit__class_weight': None, 'logit__l1_ratio': 0.4}",0.8047945205479452,0.7838312829525483,0.7431693989071039,0.7859649122807018,0.7823008849557522,0.7800121999288103,0.02013362193463344,278
3.7059992790222167,0.06445507553805964,0.014757728576660157,0.0029282787089558696,0.001,,0.5,"{'logit__C': 0.001, 'logit__class_weight': None, 'logit__l1_ratio': 0.5}",0.7495495495495496,0.7352941176470589,0.7005649717514124,0.7014925373134329,0.7116104868913857,0.7197023326305678,0.019479596054266225,280
3.617568111419678,0.1581949070444104,0.01332550048828125,0.0017707677929022154,0.001,,0.6,"{'logit__C': 0.001, 'logit__class_weight': None, 'logit__l1_ratio': 0.6}",0.6743295019157088,0.6469428007889546,0.6144578313253012,0.6147704590818364,0.6129032258064516,0.6326807637836505,0.024421418377589637,282
3.6687950134277343,0.2714061011568355,0.012495946884155274,0.0019480651851287083,0.001,,0.7,"{'logit__C': 0.001, 'logit__class_weight': None, 'logit__l1_ratio': 0.7}",0.49344978165938863,0.41203703703703703,0.4046511627906977,0.3972286374133949,0.41379310344827586,0.4242319444697588,0.03510378827852594,283
2.8941739082336424,0.5293741393326555,0.009819126129150391,0.002217467104304559,0.001,,0.8,"{'logit__C': 0.001, 'logit__class_weight': None, 'logit__l1_ratio': 0.8}",0.0,0.0058309037900874635,0.0,0.005813953488372093,0.005813953488372093,0.00349176215336633,0.002851018578008816,284
3.173216152191162,0.2220212584655125,0.01358332633972168,0.002621222069324516,0.001,,0.9,"{'logit__C': 0.001, 'logit__class_weight': None, 'logit__l1_ratio': 0.9}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,285
1.8722086906433106,0.6510435271982592,0.01257619857788086,0.002701871158838846,0.001,,1.0,"{'logit__C': 0.001, 'logit__class_weight': None, 'logit__l1_ratio': 1.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,285
9.12212781906128,0.17413593110669337,0.012036561965942383,0.0017274651803122149,0.001,balanced,0.0,"{'logit__C': 0.001, 'logit__class_weight': 'balanced', 'logit__l1_ratio': 0.0}",0.9376854599406528,0.9508196721311475,0.9385307346326837,0.9497041420118343,0.9446935724962631,0.9442867162425163,0.005457132134660269,47
4.511874771118164,0.11594210755146149,0.012057638168334961,0.0009249372936148774,0.001,balanced,0.1,"{'logit__C': 0.001, 'logit__class_weight': 'balanced', 'logit__l1_ratio': 0.1}",0.9361069836552749,0.9393939393939394,0.9307228915662651,0.9501466275659824,0.9216867469879518,0.9356114378338827,0.009419336749755345,267
3.898834228515625,0.09894086645474527,0.012143373489379883,0.002816193760988087,0.001,balanced,0.2,"{'logit__C': 0.001, 'logit__class_weight': 'balanced', 'logit__l1_ratio': 0.2}",0.9112781954887218,0.9235474006116208,0.9162861491628614,0.9397944199706314,0.9003021148036254,0.9182416560074922,0.013166726915039567,268
3.659483623504639,0.1354049683234298,0.013775777816772462,0.001331790829401673,0.001,balanced,0.3,"{'logit__C': 0.001, 'logit__class_weight': 'balanced', 'logit__l1_ratio': 0.3}",0.9017857142857143,0.9113149847094801,0.8981481481481481,0.9085457271364318,0.8919330289193302,0.9023455206398209,0.007003501254583449,270
3.6399778366088866,0.07565214952715227,0.016839981079101562,0.0017574019030651045,0.001,balanced,0.4,"{'logit__C': 0.001, 'logit__class_weight': 'balanced', 'logit__l1_ratio': 0.4}",0.8744460856720827,0.8869047619047619,0.88,0.8865671641791045,0.8698315467075038,0.8795499116926905,0.006693786546020151,271
3.475086307525635,0.10762339227616347,0.019571590423583984,0.005748863849124239,0.001,balanced,0.5,"{'logit__C': 0.001, 'logit__class_weight': 'balanced', 'logit__l1_ratio': 0.5}",0.86,0.8600583090379009,0.8606060606060606,0.8672566371681416,0.8678678678678678,0.8631577749359941,0.003607634251041406,273
