mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__criterion,param_rf__max_features,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7.886721181869507,0.19349624124641834,0.02126202583312988,0.004426595631273502,gini,sqrt,100,"{'rf__criterion': 'gini', 'rf__max_features': 'sqrt', 'rf__n_estimators': 100}",0.9034267912772586,0.896,0.884310618066561,0.9125,0.9059561128526645,0.9004387044392969,0.009640151205241539,7
15.622565031051636,0.25718692288483225,0.0458768367767334,0.004940371222403199,gini,sqrt,200,"{'rf__criterion': 'gini', 'rf__max_features': 'sqrt', 'rf__n_estimators': 200}",0.909375,0.9030206677265501,0.8888888888888888,0.9125,0.9173166926677067,0.9062202498566292,0.00982987438567769,5
23.304151439666747,0.19016589113618937,0.06383123397827148,0.009195984874478355,gini,sqrt,300,"{'rf__criterion': 'gini', 'rf__max_features': 'sqrt', 'rf__n_estimators': 300, 'MODEL_NAME': 'rf', 'TIME_ELAPSED_MIN': 1.717035714785258}",0.9130434782608695,0.909952606635071,0.8924050632911392,0.9254658385093167,0.9221183800623053,0.9125970733517403,0.01158594104942179,1
30.75016584396362,0.2241159274017957,0.06436257362365723,0.005096402593341238,gini,sqrt,400,"{'rf__criterion': 'gini', 'rf__max_features': 'sqrt', 'rf__n_estimators': 400}",0.9144634525660964,0.909952606635071,0.8924050632911392,0.91875,0.9254658385093167,0.9122073922003248,0.011143591987287055,2
1.5987971782684327,0.03250942247576935,0.030232334136962892,0.0073061084246203506,gini,log2,100,"{'rf__criterion': 'gini', 'rf__max_features': 'log2', 'rf__n_estimators': 100}",0.8089500860585198,0.8273504273504273,0.8251273344651953,0.8341708542713567,0.831918505942275,0.8255034416175547,0.008875173074964892,15
3.0715849876403807,0.04129741140753347,0.037799644470214847,0.012018886330002415,gini,log2,200,"{'rf__criterion': 'gini', 'rf__max_features': 'log2', 'rf__n_estimators': 200}",0.8089500860585198,0.8378378378378378,0.8442211055276382,0.8383838383838383,0.8378378378378378,0.8334461411291343,0.012482879683415927,12
4.601336669921875,0.021378101116886365,0.07298450469970703,0.013057687993866179,gini,log2,300,"{'rf__criterion': 'gini', 'rf__max_features': 'log2', 'rf__n_estimators': 300}",0.8245315161839863,0.8293515358361775,0.847571189279732,0.8389261744966443,0.8451178451178452,0.8370996521828771,0.008891254582841233,11
6.064845275878906,0.11574804634298819,0.07162265777587891,0.01294125785959136,gini,log2,400,"{'rf__criterion': 'gini', 'rf__max_features': 'log2', 'rf__n_estimators': 400}",0.8271186440677966,0.8392554991539763,0.8528428093645485,0.8466666666666667,0.8412162162162162,0.8414199670938409,0.008570454575190916,9
6.796511602401734,0.1849509383863856,0.01779932975769043,0.0029824881842447637,entropy,sqrt,100,"{'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 100}",0.89171974522293,0.8977635782747604,0.8941548183254344,0.9025157232704403,0.8966613672496025,0.8965630464686335,0.0036370986911710467,8
13.566470766067505,0.08016656159009342,0.037245988845825195,0.009660638844630814,entropy,sqrt,200,"{'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 200}",0.8987341772151899,0.9006410256410257,0.8853503184713376,0.9116719242902208,0.9133858267716536,0.9019566544778854,0.010128159569778177,6
20.105121326446532,0.12999019653194394,0.04873332977294922,0.010263808089876411,entropy,sqrt,300,"{'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 300}",0.9073783359497645,0.9093799682034976,0.890302066772655,0.909952606635071,0.9167974882260597,0.9067620931574096,0.008821043293827583,4
25.466150951385497,0.8792361688640874,0.03412923812866211,0.008798643166237881,entropy,sqrt,400,"{'rf__criterion': 'entropy', 'rf__max_features': 'sqrt', 'rf__n_estimators': 400}",0.9088050314465409,0.9076433121019108,0.8938193343898574,0.9119496855345912,0.9153605015673981,0.9075155730080597,0.007354865472956959,3
1.6476504325866699,0.042086196098679786,0.02296895980834961,0.005462136689781422,entropy,log2,100,"{'rf__criterion': 'entropy', 'rf__max_features': 'log2', 'rf__n_estimators': 100}",0.8109965635738832,0.8125,0.8291032148900169,0.8251273344651953,0.825938566552901,0.8207331358963993,0.007470596750209732,16
3.3507508277893066,0.10807377365635992,0.037305164337158206,0.006489744048703485,entropy,log2,200,"{'rf__criterion': 'entropy', 'rf__max_features': 'log2', 'rf__n_estimators': 200}",0.8225255972696246,0.8313458262350937,0.835016835016835,0.8211243611584327,0.8333333333333334,0.8286691906026638,0.0057250220211613224,14
4.94879002571106,0.04719902282728894,0.0560661792755127,0.010849823567664051,entropy,log2,300,"{'rf__criterion': 'entropy', 'rf__max_features': 'log2', 'rf__n_estimators': 300}",0.8198970840480274,0.8273504273504273,0.842809364548495,0.8285229202037352,0.8372881355932204,0.831173586348781,0.008019739729613408,13
5.920773363113403,0.24410378663792526,0.060058307647705075,0.013697143110136825,entropy,log2,400,"{'rf__criterion': 'entropy', 'rf__max_features': 'log2', 'rf__n_estimators': 400}",0.8299319727891157,0.8412162162162162,0.8494983277591973,0.8397976391231029,0.8431703204047217,0.8407228952584708,0.006333112625626179,10
