mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lda_pca__solver,param_pca__n_components,param_lda_pca__shrinkage,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.886637544631958,0.11465218229288344,0.023809194564819336,0.00569904682877877,svd,5,,"{'lda_pca__solver': 'svd', 'pca__n_components': 5}",0.8431372549019608,0.8313856427378965,0.8242811501597445,0.8453947368421053,0.8817891373801917,0.8451975844043798,0.01985695107529039,11
1.3107779979705811,0.07337586576197702,0.040884780883789065,0.0072856967365147254,svd,10,,"{'lda_pca__solver': 'svd', 'pca__n_components': 10}",0.9079563182527302,0.9107981220657277,0.9003115264797508,0.915625,0.9175738724727839,0.9104529678541985,0.006109966005106798,5
1.2679853916168213,0.2599702165360731,0.04299120903015137,0.017811029266370307,svd,20,,"{'lda_pca__solver': 'svd', 'pca__n_components': 20, 'MODEL_NAME': 'lda_pca', 'TIME_ELAPSED_MIN': 0.15639211734135947}",0.926829268292683,0.9228395061728395,0.9129770992366413,0.9273570324574961,0.943683409436834,0.9267372631192987,0.009920676119005968,1
0.9817800521850586,0.02069575153701534,0.02776675224304199,0.006240274314648086,lsqr,5,0.0,"{'lda_pca__shrinkage': 0.0, 'lda_pca__solver': 'lsqr', 'pca__n_components': 5}",0.8431372549019608,0.8313856427378965,0.8242811501597445,0.8453947368421053,0.8817891373801917,0.8451975844043798,0.01985695107529039,11
0.9324869632720947,0.038936177183978085,0.024228000640869142,0.005150018151655415,lsqr,10,0.0,"{'lda_pca__shrinkage': 0.0, 'lda_pca__solver': 'lsqr', 'pca__n_components': 10}",0.9079563182527302,0.9107981220657277,0.9003115264797508,0.915625,0.9175738724727839,0.9104529678541985,0.006109966005106798,5
1.0951561450958252,0.019610372826076323,0.031764984130859375,0.005541046997878072,lsqr,20,0.0,"{'lda_pca__shrinkage': 0.0, 'lda_pca__solver': 'lsqr', 'pca__n_components': 20}",0.9235474006116208,0.9228395061728395,0.9174311926605505,0.924031007751938,0.943683409436834,0.9263065033267566,0.00900598248442752,2
0.9114787578582764,0.06204824877022941,0.02487320899963379,0.005171500475991158,lsqr,5,0.1,"{'lda_pca__shrinkage': 0.1, 'lda_pca__solver': 'lsqr', 'pca__n_components': 5}",0.8322368421052632,0.8183361629881154,0.8218298555377207,0.8438538205980066,0.8691437802907916,0.8370800923039795,0.018337530708518922,14
0.8892391681671142,0.04529621078843854,0.022014760971069337,0.0030308627882573605,lsqr,10,0.1,"{'lda_pca__shrinkage': 0.1, 'lda_pca__solver': 'lsqr', 'pca__n_components': 10}",0.9018987341772152,0.9039370078740158,0.8927444794952681,0.9012738853503185,0.9085173501577287,0.9016742914109093,0.005136138222872639,8
1.155643367767334,0.08690205368036773,0.03621234893798828,0.004309738733003956,lsqr,20,0.1,"{'lda_pca__shrinkage': 0.1, 'lda_pca__solver': 'lsqr', 'pca__n_components': 20}",0.913312693498452,0.9127725856697819,0.9102167182662538,0.9206842923794712,0.9388379204892966,0.9191648420606511,0.010435671977707181,4
0.9715624332427979,0.03416663766426347,0.0274507999420166,0.004240803999188797,lsqr,5,0.5,"{'lda_pca__shrinkage': 0.5, 'lda_pca__solver': 'lsqr', 'pca__n_components': 5}",0.7905405405405406,0.7746478873239436,0.76,0.7923875432525952,0.8223350253807107,0.7879821992995579,0.020817666432696023,15
1.0747188091278077,0.04319838919215904,0.025385141372680664,0.0045149556986955885,lsqr,10,0.5,"{'lda_pca__shrinkage': 0.5, 'lda_pca__solver': 'lsqr', 'pca__n_components': 10}",0.8590163934426229,0.8447412353923205,0.8725490196078431,0.8784440842787682,0.8762214983713354,0.866194446218578,0.012670759305184385,10
1.1969823360443115,0.03328668154705501,0.027807188034057618,0.0030175052729041066,lsqr,20,0.5,"{'lda_pca__shrinkage': 0.5, 'lda_pca__solver': 'lsqr', 'pca__n_components': 20}",0.8885350318471338,0.8770226537216829,0.8846153846153846,0.9102362204724409,0.9165354330708662,0.8953889447455017,0.01528386031651562,9
1.0302825450897217,0.012904227325494354,0.03977546691894531,0.024631973795860403,lsqr,5,auto,"{'lda_pca__shrinkage': 'auto', 'lda_pca__solver': 'lsqr', 'pca__n_components': 5}",0.8431372549019608,0.8313856427378965,0.8250401284109149,0.8467874794069192,0.8782051282051282,0.8449111267325637,0.018400832297882953,13
0.9576981067657471,0.035539625321571795,0.016523408889770507,0.0044310473673151675,lsqr,10,auto,"{'lda_pca__shrinkage': 'auto', 'lda_pca__solver': 'lsqr', 'pca__n_components': 10}",0.9076682316118936,0.9090909090909091,0.9003115264797508,0.915625,0.9125,0.9090391334365107,0.005165354034045992,7
0.951748275756836,0.07552337019994312,0.013184118270874023,0.0014226040475827045,lsqr,20,auto,"{'lda_pca__shrinkage': 'auto', 'lda_pca__solver': 'lsqr', 'pca__n_components': 20}",0.9214175654853621,0.9178294573643411,0.9127105666156202,0.924031007751938,0.9420731707317073,0.9236123535897939,0.009980831464989454,3
