mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ada_boost_pca__estimator,param_ada_boost_pca__learning_rate,param_ada_boost_pca__n_estimators,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.8085505962371826,0.15020617108212533,0.05516109466552734,0.02835412313636974,DecisionTreeClassifier(max_depth=2),0.05,50,8,"{'ada_boost_pca__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost_pca__learning_rate': 0.05, 'ada_boost_pca__n_estimators': 50, 'pca__n_components': 8}",0.7619047619047619,0.7383512544802867,0.7789115646258503,0.7736486486486487,0.768695652173913,0.7643023763666921,0.014137123765104658,349
1.7066680908203125,0.14878933606527284,0.04036369323730469,0.011400825608565762,DecisionTreeClassifier(max_depth=2),0.05,50,10,"{'ada_boost_pca__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost_pca__learning_rate': 0.05, 'ada_boost_pca__n_estimators': 50, 'pca__n_components': 10}",0.7678883071553229,0.734982332155477,0.7697594501718213,0.7700170357751278,0.7605633802816901,0.7606421011078879,0.013281211508820221,350
1.6538021087646484,0.08774386288144273,0.04784064292907715,0.03393055111322296,DecisionTreeClassifier(max_depth=2),0.05,50,12,"{'ada_boost_pca__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost_pca__learning_rate': 0.05, 'ada_boost_pca__n_estimators': 50, 'pca__n_components': 12}",0.7678883071553229,0.7357142857142858,0.7731958762886598,0.7658119658119659,0.7876712328767124,0.7660563335693894,0.016983713687929523,347
1.735818099975586,0.04637120380622903,0.04509401321411133,0.006686608880829896,DecisionTreeClassifier(max_depth=2),0.05,50,15,"{'ada_boost_pca__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost_pca__learning_rate': 0.05, 'ada_boost_pca__n_estimators': 50, 'pca__n_components': 15}",0.7756521739130435,0.7334525939177102,0.7724137931034483,0.7700170357751278,0.7750865051903114,0.7653244203799283,0.016062714339636894,348
1.961309051513672,0.09027240303899044,0.03434023857116699,0.008197085431243882,DecisionTreeClassifier(max_depth=2),0.05,50,20,"{'ada_boost_pca__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost_pca__learning_rate': 0.05, 'ada_boost_pca__n_estimators': 50, 'pca__n_components': 20}",0.7772020725388601,0.7334525939177102,0.7724137931034483,0.7658119658119659,0.7876712328767124,0.7673103316497393,0.01836872156638138,346
1.5855507850646973,0.041439741425309214,0.027225637435913087,0.003194615331874291,DecisionTreeClassifier(max_depth=2),0.05,100,8,"{'ada_boost_pca__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost_pca__learning_rate': 0.05, 'ada_boost_pca__n_estimators': 100, 'pca__n_components': 8}",0.8516746411483254,0.8327868852459016,0.8092868988391376,0.8346972176759411,0.8459016393442623,0.8348694564507136,0.014580516555223993,343
1.6601751804351808,0.05079540193620694,0.02321925163269043,0.004740256413657961,DecisionTreeClassifier(max_depth=2),0.05,100,10,"{'ada_boost_pca__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost_pca__learning_rate': 0.05, 'ada_boost_pca__n_estimators': 100, 'pca__n_components': 10}",0.8466453674121406,0.8327868852459016,0.8087248322147651,0.8557692307692307,0.8286189683860233,0.8345090568056124,0.016135490611223147,344
1.8868741989135742,0.045763900706136486,0.029166984558105468,0.0035418105356143305,DecisionTreeClassifier(max_depth=2),0.05,100,12,"{'ada_boost_pca__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost_pca__learning_rate': 0.05, 'ada_boost_pca__n_estimators': 100, 'pca__n_components': 12}",0.8484848484848485,0.8256578947368421,0.8166666666666667,0.8608,0.8482871125611745,0.8399793044899064,0.016269278869794245,337
2.096009540557861,0.04145787427923112,0.03094472885131836,0.006272352558404587,DecisionTreeClassifier(max_depth=2),0.05,100,15,"{'ada_boost_pca__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost_pca__learning_rate': 0.05, 'ada_boost_pca__n_estimators': 100, 'pca__n_components': 15}",0.8484848484848485,0.8327868852459016,0.8198347107438017,0.8497576736672051,0.8459016393442623,0.8393531514972038,0.011477020924180119,338
2.5125117778778074,0.03548926003813234,0.02779994010925293,0.00261179793358788,DecisionTreeClassifier(max_depth=2),0.05,100,20,"{'ada_boost_pca__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost_pca__learning_rate': 0.05, 'ada_boost_pca__n_estimators': 100, 'pca__n_components': 20}",0.842948717948718,0.8308702791461412,0.8166666666666667,0.8422764227642277,0.834983498349835,0.8335491169751176,0.009578821589934214,345
2.111155700683594,0.049589891534331756,0.03271670341491699,0.010782944913228015,DecisionTreeClassifier(max_depth=2),0.05,200,8,"{'ada_boost_pca__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost_pca__learning_rate': 0.05, 'ada_boost_pca__n_estimators': 200, 'pca__n_components': 8}",0.88,0.8635634028892456,0.8548644338118022,0.8801261829652997,0.8948194662480377,0.874674697182877,0.013998547522723214,334
2.411545515060425,0.058190381033430154,0.032778596878051756,0.0027583219894156174,DecisionTreeClassifier(max_depth=2),0.05,200,10,"{'ada_boost_pca__estimator': DecisionTreeClassifier(max_depth=2), 'ada_boost_pca__learning_rate': 0.05, 'ada_boost_pca__n_estimators': 200, 'pca__n_components': 10}",0.8765432098765432,0.8716323296354992,0.8607594936708861,0.8791208791208791,0.8969889064976229,0.8770089637602861,0.011805326743939908,331
