mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_elasticnet_logit_pca__C,param_elasticnet_logit_pca__l1_ratio,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.1591294288635254,0.07303151789686287,0.039443588256835936,0.004312835278778458,0.01,0.1,10,"{'elasticnet_logit_pca__C': 0.01, 'elasticnet_logit_pca__l1_ratio': 0.1, 'pca__n_components': 10}",0.9289940828402367,0.9288956127080181,0.9177877428998505,0.9461077844311377,0.9498525073746312,0.934327546050775,0.011927407583670925,31
1.6004932403564454,0.10373288416715164,0.05267996788024902,0.004873179397918099,0.01,0.1,25,"{'elasticnet_logit_pca__C': 0.01, 'elasticnet_logit_pca__l1_ratio': 0.1, 'pca__n_components': 25}",0.9410029498525073,0.9367469879518072,0.9262536873156342,0.9353383458646617,0.9557522123893806,0.9390188366747981,0.009649859224804835,20
2.010831594467163,0.08842920256860314,0.03794283866882324,0.009012410991196831,0.01,0.1,50,"{'elasticnet_logit_pca__C': 0.01, 'elasticnet_logit_pca__l1_ratio': 0.1, 'pca__n_components': 50}",0.9408284023668639,0.937125748502994,0.9228486646884273,0.9369369369369369,0.96,0.9395479504990444,0.011928759253930785,19
1.0398809432983398,0.020287019412313034,0.03220834732055664,0.006166690007686926,0.01,0.5,10,"{'elasticnet_logit_pca__C': 0.01, 'elasticnet_logit_pca__l1_ratio': 0.5, 'pca__n_components': 10}",0.9269746646795827,0.9303030303030303,0.9140271493212669,0.9459459459459459,0.9512555391432792,0.9337012658786211,0.01343093988395381,35
1.4074599742889404,0.04151411661274792,0.0333895206451416,0.009327847216255182,0.01,0.5,25,"{'elasticnet_logit_pca__C': 0.01, 'elasticnet_logit_pca__l1_ratio': 0.5, 'pca__n_components': 25}",0.9376854599406528,0.9365558912386707,0.9196428571428571,0.9365558912386707,0.9540740740740741,0.936902834726985,0.010895976585078125,22
2.0657788276672364,0.029816017879615072,0.03196682929992676,0.005089858212126766,0.01,0.5,50,"{'elasticnet_logit_pca__C': 0.01, 'elasticnet_logit_pca__l1_ratio': 0.5, 'pca__n_components': 50}",0.9390787518573551,0.9365558912386707,0.9223880597014925,0.9379727685325264,0.9554896142433235,0.9382970171146736,0.0105112138944034,21
1.1270319461822509,0.050626534922939205,0.029601001739501955,0.00957152274724947,0.01,0.9,10,"{'elasticnet_logit_pca__C': 0.01, 'elasticnet_logit_pca__l1_ratio': 0.9, 'pca__n_components': 10}",0.9265367316341829,0.9303030303030303,0.9074355083459787,0.9409984871406959,0.9436201780415431,0.9297787870930861,0.01286447536636514,36
1.1992865562438966,0.06652874829649927,0.02313399314880371,0.004299300779929796,0.01,0.9,25,"{'elasticnet_logit_pca__C': 0.01, 'elasticnet_logit_pca__l1_ratio': 0.9, 'pca__n_components': 25}",0.9359165424739195,0.9347496206373292,0.9175412293853074,0.9345509893455098,0.9553571428571429,0.9356231049398417,0.01198653401406678,24
1.5447630882263184,0.032977420459851144,0.03919510841369629,0.004853581992204457,0.01,0.9,50,"{'elasticnet_logit_pca__C': 0.01, 'elasticnet_logit_pca__l1_ratio': 0.9, 'pca__n_components': 50}",0.9359165424739195,0.9347496206373292,0.9159159159159159,0.9377845220030349,0.9569093610698366,0.9362551924200073,0.013000008695980012,23
0.8632983207702637,0.01923954488854513,0.02729940414428711,0.0047715428249789655,0.1,0.1,10,"{'elasticnet_logit_pca__C': 0.1, 'elasticnet_logit_pca__l1_ratio': 0.1, 'pca__n_components': 10}",0.930780559646539,0.9299552906110283,0.913946587537092,0.9446935724962631,0.9516837481698389,0.9342119516921523,0.013082099572364718,34
1.2029451847076416,0.019243952621663424,0.0264373779296875,0.0021522999639105637,0.1,0.1,25,"{'elasticnet_logit_pca__C': 0.1, 'elasticnet_logit_pca__l1_ratio': 0.1, 'pca__n_components': 25}",0.9470588235294117,0.93993993993994,0.9251101321585903,0.9387144992526159,0.9618768328445748,0.9425400455450266,0.011996065453237451,11
1.6772666454315186,0.02862418961217771,0.026820278167724608,0.005699839338572861,0.1,0.1,50,"{'elasticnet_logit_pca__C': 0.1, 'elasticnet_logit_pca__l1_ratio': 0.1, 'pca__n_components': 50}",0.9486049926578561,0.9401197604790419,0.9262536873156342,0.9476831091180867,0.9604685212298683,0.9446260141600973,0.011260655803649626,2
0.8327477455139161,0.04417038498795549,0.024393844604492187,0.0052189823183745295,0.1,0.5,10,"{'elasticnet_logit_pca__C': 0.1, 'elasticnet_logit_pca__l1_ratio': 0.5, 'pca__n_components': 10}",0.930780559646539,0.9313432835820895,0.9155555555555556,0.9461077844311377,0.9530791788856305,0.9353732724201904,0.01310575899564308,25
1.2292940616607666,0.024998326831008368,0.02810978889465332,0.007876579635814713,0.1,0.5,25,"{'elasticnet_logit_pca__C': 0.1, 'elasticnet_logit_pca__l1_ratio': 0.5, 'pca__n_components': 25}",0.9458272327964861,0.9387144992526159,0.9248895434462445,0.9387144992526159,0.9589442815249267,0.9414180112545779,0.011085301859449372,14
1.6588076591491698,0.04074084505911741,0.0317779541015625,0.0052015112381567806,0.1,0.5,50,"{'elasticnet_logit_pca__C': 0.1, 'elasticnet_logit_pca__l1_ratio': 0.5, 'pca__n_components': 50}",0.9467455621301775,0.937125748502994,0.9292035398230089,0.9401197604790419,0.9605839416058394,0.9427557105082123,0.010545812202510225,10
