,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__n_neighbors,param_knn__p,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.8386993885040284,0.10956834097123205,199.60494408607482,0.5837117704436413,1,0.1,uniform,"{'knn__n_neighbors': 1, 'knn__p': 0.1, 'knn__weights': 'uniform'}",0.028735632183908046,0.02881844380403458,0.0058309037900874635,0.023054755043227664,0.011594202898550725,0.019606787543961696,0.009317246173522984,375
1,0.620076036453247,0.2456976091239754,209.09035983085633,11.936312506094133,1,0.1,distance,"{'knn__n_neighbors': 1, 'knn__p': 0.1, 'knn__weights': 'distance'}",0.028735632183908046,0.02881844380403458,0.0058309037900874635,0.023054755043227664,0.011594202898550725,0.019606787543961696,0.009317246173522984,375
2,0.3009044170379639,0.04358156681830615,222.83473434448243,0.6083240488034507,1,0.5,uniform,"{'knn__n_neighbors': 1, 'knn__p': 0.5, 'knn__weights': 'uniform'}",0.3099273607748184,0.291358024691358,0.32116788321167883,0.3213429256594724,0.2702702702702703,0.3028132929215196,0.019601631202780218,352
3,0.2564252376556396,0.023310172789540402,226.53610715866088,1.367674058192466,1,0.5,distance,"{'knn__n_neighbors': 1, 'knn__p': 0.5, 'knn__weights': 'distance'}",0.3099273607748184,0.291358024691358,0.32116788321167883,0.3213429256594724,0.2702702702702703,0.3028132929215196,0.019601631202780218,352
4,0.2969015598297119,0.0702997407556871,227.19606080055237,0.7416306609147246,1,0.9,uniform,"{'knn__n_neighbors': 1, 'knn__p': 0.9, 'knn__weights': 'uniform'}",0.44493392070484583,0.4200913242009132,0.41743119266055045,0.47368421052631576,0.3826879271070615,0.4277657150399373,0.030334670283247264,247
5,0.34638199806213377,0.08197711522150199,225.72353620529174,0.16225625074055888,1,0.9,distance,"{'knn__n_neighbors': 1, 'knn__p': 0.9, 'knn__weights': 'distance'}",0.44493392070484583,0.4200913242009132,0.41743119266055045,0.47368421052631576,0.3826879271070615,0.4277657150399373,0.030334670283247264,247
6,0.271851634979248,0.10150017963091247,20.411175060272218,0.15829920853948765,1,1.0,uniform,"{'knn__n_neighbors': 1, 'knn__p': 1.0, 'knn__weights': 'uniform'}",0.45454545454545453,0.41743119266055045,0.43537414965986393,0.49676025917926564,0.4,0.44082221120902687,0.03334866315091078,235
7,0.18761639595031737,0.006086684066194857,20.12666449546814,0.09421754676259501,1,1.0,distance,"{'knn__n_neighbors': 1, 'knn__p': 1.0, 'knn__weights': 'distance'}",0.45454545454545453,0.41743119266055045,0.43537414965986393,0.49676025917926564,0.4,0.44082221120902687,0.03334866315091078,235
8,0.22797341346740724,0.045466114971665514,231.2532922267914,0.38507390530056673,1,1.1,uniform,"{'knn__n_neighbors': 1, 'knn__p': 1.1, 'knn__weights': 'uniform'}",0.46808510638297873,0.4399092970521542,0.4503311258278146,0.5336134453781513,0.4266666666666667,0.4637211282615531,0.03747881772889518,223
9,0.2626180171966553,0.03765131148634432,230.91404004096984,0.6058960648932457,1,1.1,distance,"{'knn__n_neighbors': 1, 'knn__p': 1.1, 'knn__weights': 'distance'}",0.46808510638297873,0.4399092970521542,0.4503311258278146,0.5336134453781513,0.4266666666666667,0.4637211282615531,0.03747881772889518,223
10,0.3228133678436279,0.05886223020235154,229.1299412727356,0.35796793528215914,1,1.2,uniform,"{'knn__n_neighbors': 1, 'knn__p': 1.2, 'knn__weights': 'uniform'}",0.4539614561027837,0.4642857142857143,0.4774193548387097,0.5357873210633947,0.4134831460674157,0.46898739847160364,0.03965333367990337,219
11,0.2605708599090576,0.03384263702932746,291.02185373306276,73.89860043521196,1,1.2,distance,"{'knn__n_neighbors': 1, 'knn__p': 1.2, 'knn__weights': 'distance'}",0.4539614561027837,0.4642857142857143,0.4774193548387097,0.5357873210633947,0.4134831460674157,0.46898739847160364,0.03965333367990337,219
12,0.35878710746765136,0.1595277257455337,462.87158007621764,163.47857409468392,1,1.4,uniform,"{'knn__n_neighbors': 1, 'knn__p': 1.4, 'knn__weights': 'uniform'}",0.459958932238193,0.4608695652173913,0.4666666666666667,0.5476673427991886,0.44537815126050423,0.47610813163638876,0.03646149806200453,202
13,0.17670960426330568,0.02804687602538873,1284.1313417434692,247.63816234992197,1,1.4,distance,"{'knn__n_neighbors': 1, 'knn__p': 1.4, 'knn__weights': 'distance'}",0.459958932238193,0.4608695652173913,0.4666666666666667,0.5476673427991886,0.44537815126050423,0.47610813163638876,0.03646149806200453,202
14,0.2231466293334961,0.08067179686832252,1617.6431077003479,228.0022665694829,1,1.5,uniform,"{'knn__n_neighbors': 1, 'knn__p': 1.5, 'knn__weights': 'uniform'}",0.47484909456740443,0.4449244060475162,0.4715447154471545,0.5282258064516129,0.43983402489626555,0.47187560948199075,0.03142396000589771,208
15,0.2041696548461914,0.04094266951890083,1481.9294933319093,0.77168713848175,1,1.5,distance,"{'knn__n_neighbors': 1, 'knn__p': 1.5, 'knn__weights': 'distance'}",0.47484909456740443,0.4449244060475162,0.4715447154471545,0.5282258064516129,0.43983402489626555,0.47187560948199075,0.03142396000589771,208
16,0.22615475654602052,0.050147254723387276,360.36628541946413,175.75524490008584,1,1.7,uniform,"{'knn__n_neighbors': 1, 'knn__p': 1.7, 'knn__weights': 'uniform'}",0.49809885931558934,0.4775510204081633,0.4952015355086372,0.5088757396449705,0.47035573122529645,0.4900165772205313,0.014069925767789886,197
