mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lda__solver,param_lda__shrinkage,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
62.980071210861205,0.21892703568856575,0.04184036254882813,0.004115897975741415,svd,,{'lda__solver': 'svd'},0.7285129604365621,0.7170868347338936,0.7062146892655368,0.7413554633471646,0.7223796033994334,0.7231099102365182,0.011699166107227595,12
57.927437925338744,0.18642703825067036,0.028385210037231445,0.0054942605820792,lsqr,0.0,"{'lda__shrinkage': 0.0, 'lda__solver': 'lsqr'}",0.3938223938223938,0.43896103896103894,0.4512820512820513,0.4409857328145266,0.39425587467362927,0.423861418310728,0.024706124786437966,13
59.078972816467285,0.5077936796780184,0.03868303298950195,0.017028010543495585,lsqr,0.1,"{'lda__shrinkage': 0.1, 'lda__solver': 'lsqr'}",0.865979381443299,0.8665667166416792,0.8575712143928036,0.8817518248175182,0.8905547226386806,0.8724847719867961,0.011934480047572726,10
59.133495235443114,0.11684574409260023,0.026054763793945314,0.003393974665212912,lsqr,0.2,"{'lda__shrinkage': 0.2, 'lda__solver': 'lsqr'}",0.8997050147492626,0.9013657056145675,0.8785607196401799,0.905829596412556,0.9214501510574018,0.9013822374947935,0.013755981845941477,9
57.301224660873416,1.4517202027812663,0.03252940177917481,0.014979093388562703,lsqr,0.3,"{'lda__shrinkage': 0.3, 'lda__solver': 'lsqr'}",0.9171597633136095,0.9074355083459787,0.8998505231689088,0.9285714285714286,0.9353383458646617,0.9176711138529174,0.013065607522913674,7
57.03730583190918,0.22562143374080007,0.031176137924194335,0.009611316522198233,lsqr,0.4,"{'lda__shrinkage': 0.4, 'lda__solver': 'lsqr'}",0.924219910846954,0.91350531107739,0.9112781954887218,0.9343283582089552,0.9429429429429429,0.9252549437129929,0.0120802882283853,6
57.70657496452331,0.8973760621451038,0.028731632232666015,0.012096133732452627,lsqr,0.5,"{'lda__shrinkage': 0.5, 'lda__solver': 'lsqr'}",0.9285714285714286,0.9165402124430956,0.9123867069486404,0.9369369369369369,0.9427710843373494,0.9274412738474902,0.011592420636930336,5
59.46453700065613,0.4891185669518699,0.03549151420593262,0.005411926765386024,lsqr,0.6,"{'lda__shrinkage': 0.6, 'lda__solver': 'lsqr'}",0.9279279279279279,0.9235474006116208,0.913767019667171,0.9351432880844646,0.9486404833836858,0.929805223934974,0.011689059128471482,3
58.887500286102295,1.5293196900013029,0.029001998901367187,0.01157151090294438,lsqr,0.7,"{'lda__shrinkage': 0.7, 'lda__solver': 'lsqr'}",0.9341317365269461,0.9251908396946565,0.9165402124430956,0.9375951293759512,0.952959028831563,0.9332833893744426,0.012265927741940772,2
56.173901081085205,0.37749309905531114,0.034810972213745114,0.005482226994054685,lsqr,0.8,"{'lda__shrinkage': 0.8, 'lda__solver': 'lsqr', 'MODEL_NAME': 'lda', 'TIME_ELAPSED_MIN': 6.146655519803365}",0.9353383458646617,0.9263803680981595,0.9181818181818182,0.9372128637059725,0.9515151515151515,0.9337257094731525,0.011196353739788136,1
57.283239126205444,0.29795959449620724,0.03196573257446289,0.007821370623811703,lsqr,0.9,"{'lda__shrinkage': 0.9, 'lda__solver': 'lsqr'}",0.9223744292237442,0.9197530864197531,0.9202453987730062,0.9355828220858896,0.9483282674772037,0.9292568007959193,0.01115914314413336,4
46.63712749481201,0.3109391555922965,0.027005815505981447,0.005340910859775298,lsqr,1.0,"{'lda__shrinkage': 1.0, 'lda__solver': 'lsqr'}",0.7565084226646248,0.7315541601255887,0.7218045112781954,0.752906976744186,0.7642526964560863,0.7454053534537364,0.016022672337349584,11
52.97171511650085,0.5764708180312831,0.011753129959106445,0.002664751236370366,lsqr,auto,"{'lda__shrinkage': 'auto', 'lda__solver': 'lsqr'}",0.9142011834319527,0.9074355083459787,0.8952095808383234,0.9228486646884273,0.9341317365269461,0.9147653347663256,0.013242883927274874,8
