,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logit_13__C,param_logit_13__class_weight,param_logit_13__l1_ratio,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,3.2995495796203613,0.2325517137544614,0.11500520706176758,0.021721308821300432,0.05,balanced,0.0,8,"{'logit_13__C': 0.05, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 8}",0.9300291545189504,0.9329446064139941,0.9382352941176471,0.9385964912280702,0.9064748201438849,0.9292560732845093,0.011841099949161903,2381
1,2.722058391571045,0.8259930909426408,0.13190169334411622,0.08512302761592279,0.05,balanced,0.0,10,"{'logit_13__C': 0.05, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 10}",0.9319826338639653,0.938953488372093,0.9323529411764706,0.9536231884057971,0.9062049062049062,0.9326234316046464,0.015358917120028246,2231
2,2.2624324321746827,1.1313791096424521,0.15678625106811522,0.05821254781944173,0.05,balanced,0.0,12,"{'logit_13__C': 0.05, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 12}",0.9321789321789322,0.9430656934306569,0.9406528189910979,0.9522431259044862,0.9101449275362319,0.935657099608281,0.014268211628481237,2072
3,1.6497262001037598,0.18209254642978587,0.13856420516967774,0.04091476761552619,0.05,balanced,0.0,15,"{'logit_13__C': 0.05, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 15}",0.9377713458755427,0.9547445255474453,0.9380530973451328,0.9575402635431918,0.9286754002911208,0.9433569265204866,0.011006552486446344,1049
4,2.1723059177398683,0.45769711016716724,0.09362435340881348,0.039724844233159876,0.05,balanced,0.0,25,"{'logit_13__C': 0.05, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 25}",0.9466089466089466,0.9476744186046512,0.9441176470588235,0.956140350877193,0.9343065693430657,0.945769586498536,0.007014489728613772,270
5,1.9661470890045165,0.17654286566696914,0.1203042984008789,0.02442505947625684,0.05,balanced,0.0,30,"{'logit_13__C': 0.05, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 30}",0.9452449567723343,0.9505813953488372,0.9467455621301775,0.9547445255474453,0.9327485380116959,0.946012995562098,0.007405163927451797,221
6,2.277783727645874,0.26787278878359594,0.11476659774780273,0.037936290459220555,0.05,balanced,0.0,35,"{'logit_13__C': 0.05, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 35}",0.9493487698986975,0.9505813953488372,0.9420505200594353,0.9546120058565154,0.9280469897209985,0.9449279361768967,0.009365174357418527,501
7,2.0636689186096193,0.04534204500065528,0.16382970809936523,0.05757497403230619,0.05,balanced,0.0,40,"{'logit_13__C': 0.05, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 40}",0.9452449567723343,0.9461426491994177,0.9422222222222222,0.9575402635431918,0.9298245614035088,0.944194930628135,0.008870097668650137,757
8,2.3699324131011963,0.07813088290901168,0.12874035835266112,0.02452507814083563,0.05,balanced,0.0,45,"{'logit_13__C': 0.05, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 45}",0.943884892086331,0.9504373177842566,0.9467455621301775,0.9518248175182482,0.925764192139738,0.9437313563317502,0.009406402414374819,921
9,2.4949607849121094,0.07401582135382158,0.09272022247314453,0.012981433737204612,0.05,balanced,0.0,60,"{'logit_13__C': 0.05, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 60}",0.9437229437229437,0.9476744186046512,0.9420505200594353,0.9575402635431918,0.931185944363104,0.9444348180586652,0.008531963540303895,672
