mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__n_neighbors,param_knn__p,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.28069605827331545,0.039562380545642484,130.67804493904114,0.3725264396097571,1,0.8,uniform,"{'knn__n_neighbors': 1, 'knn__p': 0.8, 'knn__weights': 'uniform'}",0.4063926940639269,0.34844868735083534,0.3972602739726027,0.41964285714285715,0.40274599542334094,0.39489810159071265,0.02436861080430457,106
0.3030683517456055,0.012184477903493855,130.50838437080384,0.2763956438414288,1,0.8,distance,"{'knn__n_neighbors': 1, 'knn__p': 0.8, 'knn__weights': 'distance'}",0.4063926940639269,0.34844868735083534,0.3972602739726027,0.41964285714285715,0.40274599542334094,0.39489810159071265,0.02436861080430457,106
0.11798806190490722,0.019818389007360805,12.004634523391724,0.0795088341259933,1,1.0,uniform,"{'knn__n_neighbors': 1, 'knn__p': 1.0, 'knn__weights': 'uniform'}",0.4551422319474836,0.39908256880733944,0.42437923250564336,0.44685466377440347,0.4250559284116331,0.4301029250893006,0.019637122869853564,89
0.10137481689453125,0.012236097845953302,12.007377290725708,0.03200590629861979,1,1.0,distance,"{'knn__n_neighbors': 1, 'knn__p': 1.0, 'knn__weights': 'distance'}",0.4551422319474836,0.39908256880733944,0.42437923250564336,0.44685466377440347,0.4250559284116331,0.4301029250893006,0.019637122869853564,89
0.10582695007324219,0.011608043382871133,131.64076108932494,0.5045754150599422,1,1.2,uniform,"{'knn__n_neighbors': 1, 'knn__p': 1.2, 'knn__weights': 'uniform'}",0.4829059829059829,0.4073226544622426,0.4662309368191721,0.46443514644351463,0.4608695652173913,0.45635285716966073,0.02566059147001966,81
0.10584073066711426,0.004666868096674419,131.2914873123169,0.3717723891235463,1,1.2,distance,"{'knn__n_neighbors': 1, 'knn__p': 1.2, 'knn__weights': 'distance'}",0.4829059829059829,0.4073226544622426,0.4662309368191721,0.46443514644351463,0.4608695652173913,0.45635285716966073,0.02566059147001966,81
0.11700687408447266,0.011966038933092707,131.2659152030945,0.39350985440949016,1,1.4,uniform,"{'knn__n_neighbors': 1, 'knn__p': 1.4, 'knn__weights': 'uniform'}",0.4573804573804574,0.4366812227074236,0.4673684210526316,0.5040322580645161,0.4811715481171548,0.4693267814644367,0.022614380134222505,75
0.10734810829162597,0.008814272376796755,131.13037824630737,0.46195237670288797,1,1.4,distance,"{'knn__n_neighbors': 1, 'knn__p': 1.4, 'knn__weights': 'distance'}",0.4573804573804574,0.4366812227074236,0.4673684210526316,0.5040322580645161,0.4811715481171548,0.4693267814644367,0.022614380134222505,75
0.10312681198120117,0.007232363104513058,131.3349765777588,0.49089951704136014,1,1.7,uniform,"{'knn__n_neighbors': 1, 'knn__p': 1.7, 'knn__weights': 'uniform'}",0.5179584120982986,0.44813278008298757,0.4750499001996008,0.5075757575757576,0.5097276264591439,0.49168889528315773,0.026236871224921705,65
0.1105168342590332,0.00592699179609212,131.03453092575074,0.22954713603805343,1,1.7,distance,"{'knn__n_neighbors': 1, 'knn__p': 1.7, 'knn__weights': 'distance'}",0.5179584120982986,0.44813278008298757,0.4750499001996008,0.5075757575757576,0.5097276264591439,0.49168889528315773,0.026236871224921705,65
0.10443849563598633,0.011847950181752416,1.0414014339447022,0.03581723574110382,1,2.0,uniform,"{'knn__n_neighbors': 1, 'knn__p': 2.0, 'knn__weights': 'uniform'}",0.5420240137221269,0.5093632958801498,0.5326460481099656,0.5366666666666666,0.5451263537906137,0.5331652756339045,0.01265391803174573,59
0.10149617195129394,0.0031851105070753345,1.0197929382324218,0.013565684491790268,1,2.0,distance,"{'knn__n_neighbors': 1, 'knn__p': 2.0, 'knn__weights': 'distance'}",0.5420240137221269,0.5093632958801498,0.5326460481099656,0.5366666666666666,0.5451263537906137,0.5331652756339045,0.01265391803174573,59
0.1069401741027832,0.00826076404920573,131.15089616775512,0.4842747798218416,1,2.2,uniform,"{'knn__n_neighbors': 1, 'knn__p': 2.2, 'knn__weights': 'uniform'}",0.5678233438485805,0.5547945205479452,0.5419354838709678,0.5788667687595712,0.5661641541038526,0.5619168542261834,0.012571464329153858,47
0.10360903739929199,0.005422277919048075,131.19121255874634,0.2759196210662623,1,2.2,distance,"{'knn__n_neighbors': 1, 'knn__p': 2.2, 'knn__weights': 'distance'}",0.5678233438485805,0.5547945205479452,0.5419354838709678,0.5788667687595712,0.5661641541038526,0.5619168542261834,0.012571464329153858,47
0.09494695663452149,0.010527080994816852,131.56815433502197,0.41415885171046507,1,3.0,uniform,"{'knn__n_neighbors': 1, 'knn__p': 3.0, 'knn__weights': 'uniform'}",0.6290322580645161,0.6248548199767712,0.6103739445114595,0.6322722283205269,0.6497584541062802,0.6292583409959107,0.01269173507274122,31
0.10442094802856446,0.004780905694708495,131.61454663276672,0.32512176791985,1,3.0,distance,"{'knn__n_neighbors': 1, 'knn__p': 3.0, 'knn__weights': 'distance'}",0.6290322580645161,0.6248548199767712,0.6103739445114595,0.6322722283205269,0.6497584541062802,0.6292583409959107,0.01269173507274122,31
0.10425782203674316,0.007757026291060131,129.65488109588622,0.3312290491191352,1,10.0,uniform,"{'knn__n_neighbors': 1, 'knn__p': 10.0, 'knn__weights': 'uniform'}",0.6617466174661747,0.6416978776529338,0.6887755102040817,0.623279098873592,0.6823529411764706,0.6595704090746507,0.02454874399819187,27
